tpb,gpuA,nX,time
64,0.0000,5004288,11783.87815075
64,20.0000,5018624,2812.13139812
64,40.0000,5017600,1679.29029275
64,60.0000,5016576,1225.09731800
64,80.0000,5012480,960.13265738
64,100.0000,5022720,813.99975062
64,120.0000,5019648,792.31906238
64,140.0000,5035008,801.94281775
64,160.0000,5018624,805.18877563
64,180.0000,5031936,811.22733137
64,200.0000,5136384,830.96740388
64,0.0000,19998720,48623.35153288
64,20.0000,20015104,14200.17176550
64,40.0000,20020224,6944.46290487
64,60.0000,19995648,4628.62926112
64,80.0000,20049920,3637.31779462
64,100.0000,19979264,2991.15298900
64,120.0000,20078592,3045.81016138
64,140.0000,19987456,3062.34361250
64,160.0000,20074496,3098.82832213
64,180.0000,20127744,3124.47561675
64,200.0000,20117504,3136.43867500
64,0.0000,40006656,97887.80852587
64,20.0000,40000512,30230.11087313
64,40.0000,39990272,17999.74328963
64,60.0000,39991296,11950.35099237
64,80.0000,40008704,8003.30436638
64,100.0000,40070144,5952.42356062
64,120.0000,40025088,6021.71066375
64,140.0000,39974912,6074.14717112
64,160.0000,39975936,6120.90046937
64,180.0000,40061952,6169.40677712
64,200.0000,40020992,6192.32921700
64,0.0000,60005376,146062.35850775
64,20.0000,60015616,45580.10057712
64,40.0000,60010496,25714.65400900
64,60.0000,59986944,19169.69952175
64,80.0000,60058624,14307.63681287
64,100.0000,60049408,11641.39742238
64,120.0000,59971584,9023.45686113
64,140.0000,59962368,9087.32309750
64,160.0000,60050432,9167.94896500
64,180.0000,59996160,9213.63170375
64,200.0000,60138496,9279.87821501
128,0.0000,5013504,11757.46340212
128,20.0000,4988928,2766.47418625
128,40.0000,5017600,1671.34885662
128,60.0000,5087232,1224.00494725
128,80.0000,5103616,977.99042162
128,100.0000,5134336,829.41286687
128,120.0000,5019648,783.61794475
128,140.0000,5187584,815.17688875
128,160.0000,5191680,821.51525750
128,180.0000,5031936,802.23850475
128,200.0000,5136384,821.41753050
128,0.0000,19998720,47874.43083950
128,20.0000,20015104,15075.12919188
128,40.0000,20070400,6712.52218875
128,60.0000,20066304,4675.84769813
