tpb,gpuA,nX,time
64,0.0000,5004288,8517.35432971
64,20.0000,5018624,2633.92132161
64,40.0000,5017600,1561.44198316
64,60.0000,5016576,1135.76307498
64,80.0000,5012480,902.16634556
64,100.0000,5022720,759.58651834
64,120.0000,5019648,672.75757261
64,140.0000,5035008,675.36134606
64,160.0000,5018624,673.43523802
64,180.0000,5031936,679.05126934
64,200.0000,5136384,699.06377532
64,0.0000,19998720,34022.79539832
64,20.0000,20015104,10494.18025548
64,40.0000,20020224,6224.95793139
64,60.0000,19995648,4391.31895060
64,80.0000,20049920,3439.75209781
64,100.0000,19979264,2771.49000025
64,120.0000,20078592,2605.91770883
64,140.0000,19987456,2614.19440195
64,160.0000,20074496,2645.68461315
64,180.0000,20127744,2668.83248915
64,200.0000,20117504,2678.71626210
64,0.0000,40006656,68035.36968638
64,20.0000,40000512,21122.04029130
64,40.0000,39990272,12394.83227208
64,60.0000,39991296,8855.81157934
64,80.0000,40008704,6883.20266455
64,100.0000,40070144,5576.62030040
64,120.0000,40025088,5176.20747692
64,140.0000,39974912,5210.53452633
64,160.0000,39975936,5250.10029092
64,180.0000,40061952,5292.51966131
64,200.0000,40020992,5312.83800973
64,0.0000,60005376,100920.69750636
64,20.0000,60015616,31432.02185990
64,40.0000,60010496,18726.59938735
64,60.0000,59986944,13338.17415993
64,80.0000,60058624,10278.71686939
64,100.0000,60049408,8400.93399576
64,120.0000,59971584,7734.64833396
64,140.0000,59962368,7808.59524813
64,160.0000,60050432,7876.82407323
64,180.0000,59996160,7916.78765794
64,200.0000,60138496,7973.37581700
128,0.0000,5013504,8434.59294634
128,20.0000,4988928,2613.91694273
128,40.0000,5017600,1561.68832608
128,60.0000,5087232,1150.27480167
128,80.0000,5103616,918.43340675
128,100.0000,5134336,773.92177677
128,120.0000,5019648,662.77176071
128,140.0000,5187584,604.81089467
128,160.0000,5191680,550.31680727
128,180.0000,5031936,508.56831897
128,200.0000,5136384,504.05840613
128,0.0000,19998720,33398.42121539
128,20.0000,20015104,10500.63245369
128,40.0000,20070400,6286.57395668
128,60.0000,20066304,4414.60078685
128,80.0000,20049920,3423.16287189
128,100.0000,20090880,2773.82002677
128,120.0000,20078592,2376.13764728
128,140.0000,20140032,2060.35034923
128,160.0000,20074496,1942.53610769
128,180.0000,20127744,1949.53712575
128,200.0000,20117504,1955.32351730
128,0.0000,39997440,67525.25341135
128,20.0000,40030208,20899.28753349
128,40.0000,40040448,12317.88939318
128,60.0000,39991296,8798.98630976
128,80.0000,40099840,6799.80733192
128,100.0000,39958528,5536.84409288
