tpb,gpuA,nX,time
64,0.0000,5004288,204.87589711
64,20.0000,5018624,104.33697360
64,40.0000,5017600,92.54232373
64,60.0000,5016576,97.67801115
64,80.0000,5012480,99.73342373
64,100.0000,5022720,100.90793915
64,120.0000,5019648,100.76084886
64,140.0000,5035008,100.98372081
64,160.0000,5018624,101.04701535
64,180.0000,5031936,101.76483261
64,200.0000,5136384,103.82936608
64,0.0000,19998720,5467.81605945
64,20.0000,20015104,286.52001790
64,40.0000,20020224,283.42102265
64,60.0000,19995648,299.35141223
64,80.0000,20049920,309.26371576
64,100.0000,19979264,313.68735773
64,120.0000,20078592,319.58999000
64,140.0000,19987456,321.20908300
64,160.0000,20074496,324.33057267
64,180.0000,20127744,326.92544878
64,200.0000,20117504,328.20844058
64,0.0000,40006656,11004.52191221
64,20.0000,40000512,1050.83629299
64,40.0000,39990272,539.13865227
64,60.0000,39991296,572.26335683
64,80.0000,40008704,590.66536753
64,100.0000,40070144,603.67562117
64,120.0000,40025088,610.66978976
64,140.0000,39974912,616.06167172
64,160.0000,39975936,620.75781236
64,180.0000,40061952,625.07452757
64,200.0000,40020992,627.60251248
64,0.0000,60005376,16557.22592386
64,20.0000,60015616,4877.38249257
64,40.0000,60010496,796.49476106
64,60.0000,59986944,845.64693730
64,80.0000,60058624,874.23044513
64,100.0000,60049408,891.35539303
64,120.0000,59971584,902.57033288
64,140.0000,59962368,911.32390291
64,160.0000,60050432,919.18125659
64,180.0000,59996160,923.63536733
64,200.0000,60138496,930.08926094
128,0.0000,5013504,206.28898685
128,20.0000,4988928,102.93517354
128,40.0000,5017600,92.60115059
128,60.0000,5087232,99.00308825
128,80.0000,5103616,101.59187206
128,100.0000,5134336,101.84105585
128,120.0000,5019648,101.05205545
128,140.0000,5187584,103.79536748
128,160.0000,5191680,104.43791651
128,180.0000,5031936,102.30342518
128,200.0000,5136384,104.09434613
128,0.0000,19998720,5422.53955552
128,20.0000,20015104,286.70563382
128,40.0000,20070400,285.76515399
128,60.0000,20066304,302.71010880
128,80.0000,20049920,311.69858442
128,100.0000,20090880,318.32521324
128,120.0000,20078592,321.94487606
128,140.0000,20140032,326.86490710
128,160.0000,20074496,328.25512635
128,180.0000,20127744,329.89370862
128,200.0000,20117504,331.13616709
128,0.0000,39997440,11055.97938403
128,20.0000,40030208,1217.34285406
128,40.0000,40040448,545.05957492
128,60.0000,39991296,577.85223524
128,80.0000,40099840,597.64778491
128,100.0000,39958528,607.80578701
128,120.0000,40157184,618.51126709
128,140.0000,39974912,622.15889371
128,160.0000,40148992,629.27719309
128,180.0000,40255488,634.45785145
128,200.0000,40235008,637.72552182
128,0.0000,59996160,16561.26688356
