tpb,gpuA,nX,time
64,0.0000,5004288,189.70309255
64,20.0000,5018624,62.22814532
64,40.0000,5017600,37.88999980
64,60.0000,5016576,26.16634734
64,80.0000,5012480,22.18076732
64,100.0000,5022720,17.89041309
64,120.0000,5019648,17.49654792
64,140.0000,5035008,18.83949950
64,160.0000,5018624,17.88661631
64,180.0000,5031936,17.97988414
64,200.0000,5136384,18.31690505
64,0.0000,19998720,742.77556620
64,20.0000,20015104,238.76906739
64,40.0000,20020224,141.03115560
64,60.0000,19995648,97.06591983
64,80.0000,20049920,78.22304538
64,100.0000,19979264,66.84346715
64,120.0000,20078592,64.42041614
64,140.0000,19987456,63.82025709
64,160.0000,20074496,65.00887091
64,180.0000,20127744,64.20949910
64,200.0000,20117504,64.48140570
64,0.0000,40006656,1473.90421021
64,20.0000,40000512,462.95611232
64,40.0000,39990272,270.22139157
64,60.0000,39991296,201.51174755
64,80.0000,40008704,161.08636492
64,100.0000,40070144,123.61354498
64,120.0000,40025088,124.19467802
64,140.0000,39974912,124.00451618
64,160.0000,39975936,125.58558996
64,180.0000,40061952,125.19882673
64,200.0000,40020992,126.71510014
64,0.0000,60005376,2213.49198168
64,20.0000,60015616,697.56108986
64,40.0000,60010496,414.94488563
64,60.0000,59986944,296.84552646
64,80.0000,60058624,231.34753235
64,100.0000,60049408,185.50569199
64,120.0000,59971584,183.24308012
64,140.0000,59962368,184.88250519
64,160.0000,60050432,186.30229952
64,180.0000,59996160,186.13300085
64,200.0000,60138496,188.43994714
128,0.0000,5013504,163.65414946
128,20.0000,4988928,50.78511267
128,40.0000,5017600,31.03491409
128,60.0000,5087232,22.92593491
128,80.0000,5103616,17.88060723
128,100.0000,5134336,14.95350175
128,120.0000,5019648,14.69761901
128,140.0000,5187584,16.62662754
128,160.0000,5191680,15.44138464
128,180.0000,5031936,15.07603909
128,200.0000,5136384,15.40948298
128,0.0000,19998720,662.61756160
128,20.0000,20015104,202.60166808
128,40.0000,20070400,123.66268291
128,60.0000,20066304,86.11132798
128,80.0000,20049920,67.32250624
128,100.0000,20090880,56.23663399
128,120.0000,20078592,54.64916853
128,140.0000,20140032,54.63176732
128,160.0000,20074496,56.12175280
128,180.0000,20127744,55.32249221
128,200.0000,20117504,55.56241713
128,0.0000,39997440,1328.68856844
128,20.0000,40030208,417.09920218
128,40.0000,40040448,241.90357298
128,60.0000,39991296,175.32030032
128,80.0000,40099840,133.46990425
128,100.0000,39958528,110.58977896
128,120.0000,40157184,107.94067123
128,140.0000,39974912,106.78478834
128,160.0000,40148992,109.01568780
128,180.0000,40255488,108.95122904
128,200.0000,40235008,110.49910159
128,0.0000,59996160,1983.31048452
128,20.0000,59985920,626.34857548
128,40.0000,60010496,368.59430691
128,60.0000,60057600,261.79046116
128,80.0000,59967488,203.58807089
128,100.0000,60049408,169.08233531
128,120.0000,59971584,157.73736227
