tpb,gpuA,nX,time
64,,501760,2640.28577010
64,,1003520,5084.20932293
64,,5002240,42461.00473403
64,,9999360,85057.57363636
64,5,501760,2535.05321344
64,5,1003520,4773.62620830
64,5,5002240,43681.21099471
64,5,9999360,86118.35114160
64,10,501760,2515.72604974
64,10,1003520,5165.58452447
64,10,5002240,44202.60711510
64,10,9999360,84926.02535088
64,15,501760,2512.14905580
64,15,1003520,4676.23349031
64,15,5002240,43436.00861231
64,15,9999360,85249.15154774
64,20,501760,2516.10493660
64,20,1003520,4782.23975499
64,20,5002240,43409.26003456
64,20,9999360,85302.43225891
64,25,501760,2507.06120332
64,25,1003520,4721.49256865
64,25,5002240,42982.14431603
64,25,9999360,87521.02494239
64,30,501760,2498.22402000
64,30,1003520,4723.05631638
64,30,5002240,42887.32544581
64,30,9999360,86372.32192356
64,35,501760,2620.47354380
64,35,1003520,4716.10116959
64,35,5002240,42700.24712880
64,35,9999360,87066.32741291
64,40,501760,2596.07088566
64,40,1003520,4799.37454065
64,40,5002240,42601.99109713
64,40,9999360,85987.21317449
64,45,501760,2502.35303243
64,45,1003520,4681.52705828
64,45,5002240,42614.70262209
64,45,9999360,85879.03980413
64,50,501760,2503.31278642
64,50,1003520,4676.60856247
64,50,5002240,42926.37598514
64,50,9999360,86575.11949538
64,55,501760,2561.07978026
64,55,1003520,4753.13961506
64,55,5002240,42578.37875684
64,55,9999360,86197.45616117
64,60,501760,3886.89132531
64,60,1003520,5976.66418552
64,60,5002240,42492.91519323
64,60,9999360,84936.55804792
64,65,501760,3595.34076850
64,65,1003520,5111.72000567
64,65,5002240,43024.20198917
64,65,9999360,85156.37918312
64,70,501760,2537.06638018
64,70,1003520,4723.98893038
64,70,5002240,43900.17910798
64,70,9999360,85270.23255824
64,75,501760,2559.23112233
64,75,1003520,5212.14663982
64,75,5002240,43858.35250218
64,75,9999360,85693.19820403
64,80,501760,2557.49952793
64,80,1003520,4742.01154709
64,80,5002240,43333.56181780
64,80,9999360,85342.39963689
64,85,501760,2526.91165606
64,85,1003520,4655.79752127
64,85,5002240,43381.17559750
64,85,9999360,84900.43699740
64,90,501760,2563.81344795
64,90,1003520,4755.51084677
64,90,5002240,42511.85520489
64,90,9999360,88934.80543294
64,95,501760,2535.04916032
64,95,1003520,4779.45121129
64,95,5002240,43238.50524425
64,95,9999360,87371.08747163
64,100,501760,2587.63221900
64,100,1003520,4705.09795348
64,100,5002240,42781.21260801
64,100,9999360,86315.38097063
96,,499200,2541.06974602
96,,998400,4765.41133722
96,,4999680,42443.50838661
96,,9999360,86277.22338834
96,5,499200,2518.04880301
96,5,998400,4664.14229075
96,5,4999680,42485.05254586
96,5,9999360,86149.90003903
96,10,499200,2540.23321470
96,10,998400,4697.92517026
96,10,4999680,42680.32455444
96,10,9999360,87281.96895121
96,15,499200,2550.93522867
96,15,998400,4675.17042160
96,15,4999680,42476.17940107
96,15,9999360,85473.60201676
96,20,499200,3118.08733145
96,20,998400,6907.70375729
96,20,4999680,42610.65113544
96,20,9999360,85889.05413944
96,25,499200,3333.37390423
96,25,998400,5112.83222834
96,25,4999680,43885.97504297
96,25,9999360,84920.11106013
