tpb,gpuA,nX,time
64,,501760,2189.53105046
64,,1003520,4351.89597626
64,,5002240,21487.53376876
64,,9999360,43086.22211535
64,5,501760,2179.87787216
64,5,1003520,4368.74788175
64,5,5002240,21553.97800689
64,5,9999360,43065.77585955
64,10,501760,2189.69912447
64,10,1003520,4339.76167536
64,10,5002240,22523.16268835
64,10,9999360,43037.96759787
64,15,501760,2180.61143731
64,15,1003520,4323.24706715
64,15,5002240,21543.15873346
64,15,9999360,43431.68837751
64,20,501760,2238.76710268
64,20,1003520,4471.84152584
64,20,5002240,21569.24789256
64,20,9999360,43033.53236235
64,25,501760,2185.21018929
64,25,1003520,4330.18181394
64,25,5002240,21572.97500588
64,25,9999360,43024.76203822
64,30,501760,2201.76094073
64,30,1003520,4333.82720865
64,30,5002240,22318.19594794
64,30,9999360,43056.97371192
64,35,501760,2181.25294022
64,35,1003520,4353.94908678
64,35,5002240,21716.94542816
64,35,9999360,43158.40932442
64,40,501760,2399.61951020
64,40,1003520,4769.15258518
64,40,5002240,21641.89961362
64,40,9999360,43072.13302781
64,45,501760,2184.20947327
64,45,1003520,4343.95702595
64,45,5002240,21560.26911070
64,45,9999360,43063.45159545
64,50,501760,2179.32692551
64,50,1003520,4382.26779249
64,50,5002240,22280.92596410
64,50,9999360,43057.31465525
64,55,501760,2185.01120330
64,55,1003520,4338.66624185
64,55,5002240,21538.79352548
64,55,9999360,43097.01709513
64,60,501760,2185.27494593
64,60,1003520,4475.29177875
64,60,5002240,21916.83218042
64,60,9999360,43022.17791531
64,65,501760,2179.23232691
64,65,1003520,4338.14204595
64,65,5002240,21565.49410776
64,65,9999360,43116.27866898
64,70,501760,2195.61999783
64,70,1003520,4332.21237457
64,70,5002240,21756.52596386
64,70,9999360,43549.12086212
64,75,501760,2185.41737884
64,75,1003520,4328.28282739
64,75,5002240,21592.05241565
64,75,9999360,43168.09432621
64,80,501760,2265.50414524
64,80,1003520,4431.98309934
64,80,5002240,22246.12406435
64,80,9999360,43050.73717966
64,85,501760,2181.05629245
64,85,1003520,4339.35129896
64,85,5002240,21572.41807498
64,85,9999360,43027.02324980
64,90,501760,2187.35270678
64,90,1003520,4339.44938506
64,90,5002240,21551.08821202
64,90,9999360,43568.71014263
64,95,501760,2195.95408503
64,95,1003520,4350.80660626
64,95,5002240,21576.80095827
64,95,9999360,43001.35984383
64,100,501760,2184.33502348
64,100,1003520,4337.66822073
64,100,5002240,22113.45767880
64,100,9999360,43080.66909459
96,,499200,2200.48977718
96,,998400,4310.45600934
96,,4999680,21475.44154608
96,,9999360,42908.65110369
96,5,499200,2168.31664640
96,5,998400,4330.47054457
96,5,4999680,21487.46213273
96,5,9999360,43363.69789612
96,10,499200,2167.08917067
96,10,998400,4313.82394882
96,10,4999680,21503.69529547
96,10,9999360,43008.55600818
96,15,499200,2171.70342506
96,15,998400,4302.63042608
96,15,4999680,21839.98466171
96,15,9999360,43175.42202128
96,20,499200,2167.29394785
96,20,998400,4329.36409872
96,20,4999680,21484.92303819
96,20,9999360,42917.93189517
96,25,499200,2167.80632616
96,25,998400,4308.81890009
96,25,4999680,21452.01446684
96,25,9999360,43543.28787818
96,30,499200,2169.61397751
96,30,998400,4298.88170554
96,30,4999680,21467.62850908
96,30,9999360,42965.79830358
