tpb,gpuA,nX,time
64,,501760,170.77142925
64,,1003520,210.59972766
64,,5002240,654.24894814
64,,9999360,11110.13927851
64,5,501760,172.52542082
64,5,1003520,217.15478845
64,5,5002240,579.65853754
64,5,9999360,11051.94067164
64,10,501760,192.04757587
64,10,1003520,210.67839268
64,10,5002240,666.61914176
64,10,9999360,9182.93650837
64,15,501760,255.65924992
64,15,1003520,256.27367140
64,15,5002240,738.00299927
64,15,9999360,11039.44127668
64,20,501760,185.76180373
64,20,1003520,218.86253452
64,20,5002240,589.56178819
64,20,9999360,11192.77501500
64,25,501760,166.06829401
64,25,1003520,220.24616482
64,25,5002240,727.39359101
64,25,9999360,11111.17110136
64,30,501760,184.64972667
64,30,1003520,208.97525526
64,30,5002240,568.32263001
64,30,9999360,11107.48894273
64,35,501760,176.70189772
64,35,1003520,228.92287683
64,35,5002240,642.04550052
64,35,9999360,11078.92209819
64,40,501760,177.96443157
64,40,1003520,215.48645434
64,40,5002240,581.38062608
64,40,9999360,11050.66824508
64,45,501760,206.02523754
64,45,1003520,195.45599612
64,45,5002240,657.13488168
64,45,9999360,11066.97574216
64,50,501760,183.04476160
64,50,1003520,202.46262591
64,50,5002240,610.86995704
64,50,9999360,11086.67886649
64,55,501760,197.26322564
64,55,1003520,214.16698768
64,55,5002240,693.65734220
64,55,9999360,11049.89522220
64,60,501760,162.40214650
64,60,1003520,221.29884582
64,60,5002240,1054.99649143
64,60,9999360,9565.04258727
64,65,501760,208.21053591
64,65,1003520,219.32522787
64,65,5002240,623.87531111
64,65,9999360,11178.30696831
64,70,501760,164.10262202
64,70,1003520,213.00588403
64,70,5002240,648.40346173
64,70,9999360,11201.12566447
64,75,501760,215.83210367
64,75,1003520,214.57072199
64,75,5002240,691.48873035
64,75,9999360,11104.96435180
64,80,501760,180.44373052
64,80,1003520,226.98986274
64,80,5002240,593.83019986
64,80,9999360,11143.61116517
64,85,501760,183.60956056
64,85,1003520,218.23710788
64,85,5002240,819.37683759
64,85,9999360,11095.30186379
64,90,501760,173.68497500
64,90,1003520,215.39364551
64,90,5002240,585.01316217
64,90,9999360,11075.68531071
64,95,501760,190.55413238
64,95,1003520,211.12896843
64,95,5002240,716.70444503
64,95,9999360,11140.34982467
64,100,501760,184.86871737
64,100,1003520,226.27790458
64,100,5002240,649.05383869
64,100,9999360,11252.75196780
96,,499200,178.64845967
96,,998400,228.45581320
96,,4999680,682.81217727
96,,9999360,11212.74413039
96,5,499200,185.72672231
96,5,998400,231.10491736
96,5,4999680,715.19665908
96,5,9999360,11148.32590151
96,10,499200,177.67770154
96,10,998400,208.41129063
96,10,4999680,628.16148201
96,10,9999360,11102.51179101
96,15,499200,174.53404074
96,15,998400,224.26805304
96,15,4999680,756.05268817
96,15,9999360,8738.71215918
96,20,499200,209.17338781
96,20,998400,252.17776655
96,20,4999680,891.02271318
96,20,9999360,11130.69262073
96,25,499200,161.35582227
96,25,998400,226.32867927
96,25,4999680,821.39777374
96,25,9999360,11216.69867658
96,30,499200,183.22465817
96,30,998400,214.68089275
96,30,4999680,691.02397106
96,30,9999360,11151.88589098
96,35,499200,178.59252011
96,35,998400,215.50445194
96,35,4999680,708.78816156
96,35,9999360,11227.61348787
96,40,499200,192.40836226
96,40,998400,226.89935824
96,40,4999680,587.74216297
