tpb,gpuA,nX,time
64,,501760,38.22714566
64,,1003520,67.46968373
64,,5002240,306.48082178
64,,9999360,630.81850555
64,5,501760,34.19293368
64,5,1003520,64.96204816
64,5,5002240,313.07403077
64,5,9999360,621.48463219
64,10,501760,34.93426645
64,10,1003520,65.06532589
64,10,5002240,308.50397145
64,10,9999360,626.19621291
64,15,501760,34.46947704
64,15,1003520,64.52305837
64,15,5002240,305.68174701
64,15,9999360,623.01612281
64,20,501760,36.89586958
64,20,1003520,64.26125765
64,20,5002240,306.40302662
64,20,9999360,632.84629203
64,25,501760,34.41034796
64,25,1003520,64.85064613
64,25,5002240,307.30280312
64,25,9999360,624.09388100
64,30,501760,34.02838682
64,30,1003520,64.30972605
64,30,5002240,309.15871104
64,30,9999360,633.18505566
64,35,501760,35.80408210
64,35,1003520,64.78902032
64,35,5002240,315.92998099
64,35,9999360,621.09375412
64,40,501760,34.12536326
64,40,1003520,64.71431636
64,40,5002240,307.71654813
64,40,9999360,630.53272823
64,45,501760,34.74617892
64,45,1003520,65.01111103
64,45,5002240,308.27284493
64,45,9999360,627.82586889
64,50,501760,34.34392683
64,50,1003520,69.02253533
64,50,5002240,306.22770019
64,50,9999360,620.60050983
64,55,501760,34.61083992
64,55,1003520,66.01380858
64,55,5002240,306.85386601
64,55,9999360,659.90176765
64,60,501760,49.60453891
64,60,1003520,99.68678685
64,60,5002240,310.63804760
64,60,9999360,771.53306375
64,65,501760,70.73240394
64,65,1003520,117.57028071
64,65,5002240,517.82442693
64,65,9999360,696.34969089
64,70,501760,47.12230665
64,70,1003520,89.44097034
64,70,5002240,319.43809479
64,70,9999360,626.62779175
64,75,501760,34.41125947
64,75,1003520,65.87082084
64,75,5002240,305.66874812
64,75,9999360,636.57724952
64,80,501760,35.98935585
64,80,1003520,64.80257403
64,80,5002240,305.27592815
64,80,9999360,620.05947086
64,85,501760,34.46630658
64,85,1003520,69.32083597
64,85,5002240,306.75272834
64,85,9999360,632.34516122
64,90,501760,35.54303437
64,90,1003520,65.31012502
64,90,5002240,315.93073397
64,90,9999360,626.51987723
64,95,501760,33.81354853
64,95,1003520,64.27401875
64,95,5002240,318.27089000
64,95,9999360,644.43487753
64,100,501760,34.43741576
64,100,1003520,64.41633276
64,100,5002240,305.98852863
64,100,9999360,623.91312515
96,,499200,37.12005401
96,,998400,62.53437863
96,,4999680,285.85536139
96,,9999360,581.30371981
96,5,499200,45.52064276
96,5,998400,58.91386952
96,5,4999680,284.90578687
96,5,9999360,580.14395218
96,10,499200,30.95282606
96,10,998400,58.99819117
96,10,4999680,288.90655154
96,10,9999360,585.77982364
96,15,499200,30.97005307
96,15,998400,58.88383067
96,15,4999680,284.34687506
96,15,9999360,589.70052414
96,20,499200,31.07676588
96,20,998400,59.55800966
96,20,4999680,300.42956430
96,20,9999360,580.04145742
96,25,499200,31.16290090
96,25,998400,59.26763412
96,25,4999680,285.09410128
96,25,9999360,581.27202527
96,30,499200,31.00273313
96,30,998400,58.99074059
96,30,4999680,289.83314359
96,30,9999360,585.11364712
96,35,499200,45.33729541
96,35,998400,64.19416300
96,35,4999680,285.16793693
96,35,9999360,579.64362007
96,40,499200,32.55347884
96,40,998400,59.72097633
96,40,4999680,285.24319173
96,40,9999360,582.75883002
96,45,499200,31.31108467
96,45,998400,59.28766002
96,45,4999680,285.47995463
96,45,9999360,584.12228627
96,50,499200,31.24217665
96,50,998400,58.90086057
96,50,4999680,285.16561108
96,50,9999360,583.63389874
96,55,499200,30.99019723
96,55,998400,59.10719040
96,55,4999680,303.15076075
96,55,9999360,589.38007033
96,60,499200,30.95590091
96,60,998400,59.47274190
96,60,4999680,284.04218968
96,60,9999360,580.12711939
96,65,499200,31.04503193
96,65,998400,59.46998243
96,65,4999680,284.94485314
96,65,9999360,584.99057457
96,70,499200,31.12576626
96,70,998400,58.96555053
96,70,4999680,289.86093544
96,70,9999360,597.71143570
96,75,499200,30.92779369
96,75,998400,59.21465222
96,75,4999680,285.44021820
96,75,9999360,581.04480227
96,80,499200,31.09099688
96,80,998400,59.34261298
96,80,4999680,284.58107559
96,80,9999360,583.49691055
96,85,499200,31.05595156
96,85,998400,59.15914736
96,85,4999680,286.12870703
96,85,9999360,581.16822962
96,90,499200,31.55198678
96,90,998400,58.92790342
96,90,4999680,288.62382369
96,90,9999360,580.10307254
96,95,499200,30.89889805
96,95,998400,74.08482845
96,95,4999680,286.30334233
96,95,9999360,579.32927653
96,100,499200,30.87705878
96,100,998400,59.33949872
96,100,4999680,286.31654839
96,100,9999360,585.94728431
128,,501760,34.71449018
128,,1003520,60.86924358
128,,5007360,274.58083473
128,,10004480,567.42963038
128,5,501760,29.67479982
128,5,1003520,57.17010874
128,5,5007360,277.14254040
128,5,10004480,563.85927294
128,10,501760,32.62142602
128,10,1003520,58.08786342
128,10,5007360,278.36322000
128,10,10004480,571.31969615
128,15,501760,29.55343378
128,15,1003520,57.39876314
128,15,5007360,274.33206376
128,15,10004480,561.04162022
128,20,501760,33.29593884
128,20,1003520,57.21540043
128,20,5007360,275.30565858
128,20,10004480,569.35109590
128,25,501760,29.47084998
128,25,1003520,56.69072270
128,25,5007360,273.43136700
128,25,10004480,561.83538155
128,30,501760,29.99631198
128,30,1003520,56.62837311
128,30,5007360,273.35760625
128,30,10004480,570.76541217
128,35,501760,29.64221333
128,35,1003520,56.97137431
128,35,5007360,273.36678223
128,35,10004480,561.99466712
128,40,501760,29.63856647
128,40,1003520,56.80989278
128,40,5007360,273.90922371
128,40,10004480,568.67430869
128,45,501760,31.48250674
128,45,1003520,57.02482242
128,45,5007360,284.97263005
128,45,10004480,559.17709282
128,50,501760,29.50645591
128,50,1003520,57.27967149
128,50,5007360,275.60874035
128,50,10004480,560.51906002
128,55,501760,29.43693023
128,55,1003520,56.66284185
128,55,5007360,275.82798349
128,55,10004480,560.12355183
128,60,501760,31.38510020
128,60,1003520,57.25406502
128,60,5007360,273.45042480
128,60,10004480,564.04667465
128,65,501760,29.62366531
128,65,1003520,57.09924980
128,65,5007360,276.52504413
128,65,10004480,569.24941508
128,70,501760,29.55413963
128,70,1003520,56.75369972
128,70,5007360,273.84467815
128,70,10004480,558.51575575
128,75,501760,29.61978316
128,75,1003520,56.71574097
128,75,5007360,275.34585250
128,75,10004480,565.16967322
128,80,501760,29.84443777
128,80,1003520,56.80208928
128,80,5007360,298.71851990
128,80,10004480,581.31978700
128,85,501760,29.60954842
128,85,1003520,59.15435521
128,85,5007360,278.07021612
128,85,10004480,565.30566592
128,90,501760,35.20407175
128,90,1003520,56.69915362
128,90,5007360,275.24048561
128,90,10004480,558.60292755
128,95,501760,29.37407086
128,95,1003520,56.77134583
128,95,5007360,276.00864046
128,95,10004480,569.43752264
128,100,501760,29.71330756
128,100,1003520,56.79687387
128,100,5007360,278.94405158
128,100,10004480,682.91943324
192,,506880,33.11420402
192,,998400,57.39016665
192,,5007360,261.25697389
192,,9999360,535.17571675
192,5,506880,50.94663649
192,5,998400,71.59724122
192,5,5007360,369.51055918
192,5,9999360,611.68982869
192,10,506880,40.81585735
192,10,998400,55.02577024
192,10,5007360,282.64869458
192,10,9999360,552.64993004
192,15,506880,37.11232748
192,15,998400,55.11107741
192,15,5007360,346.27014840
192,15,9999360,585.09440964
192,20,506880,28.51514589
192,20,998400,53.61820182
192,20,5007360,262.98164533
192,20,9999360,538.37154277
192,25,506880,31.89045601
192,25,998400,53.68005346
192,25,5007360,261.10204912
192,25,9999360,531.56892616
192,30,506880,33.41959898
192,30,998400,53.70173505
192,30,5007360,261.39766766
192,30,9999360,540.89078512
192,35,506880,28.54900858
192,35,998400,53.87952403
192,35,5007360,262.01594759
192,35,9999360,532.85807371
192,40,506880,29.55605902
192,40,998400,54.30566571
192,40,5007360,269.25763598
192,40,9999360,539.82980668
192,45,506880,28.96982841
192,45,998400,53.82926218
192,45,5007360,261.48029421
192,45,9999360,532.71682805
192,50,506880,28.63683871
192,50,998400,53.82539892
192,50,5007360,261.66955472
192,50,9999360,536.22167577
192,55,506880,28.56785185
192,55,998400,59.71451127
192,55,5007360,261.29596132
192,55,9999360,539.67823270
192,60,506880,28.70413046
192,60,998400,55.51478850
192,60,5007360,263.85714768
192,60,9999360,538.48570617
192,65,506880,31.48524692
192,65,998400,54.13654935
192,65,5007360,260.94625709
192,65,9999360,547.04350612
192,70,506880,28.44923388
192,70,998400,53.79713402
192,70,5007360,262.55743529
192,70,9999360,537.50246606
192,75,506880,28.72159399
192,75,998400,54.05609097
192,75,5007360,261.18960330
192,75,9999360,533.01063322
192,80,506880,28.91534851
192,80,998400,55.18692353
192,80,5007360,261.18447856
192,80,9999360,537.23136742
192,85,506880,28.72533899
192,85,998400,54.11900698
192,85,5007360,261.35166328
192,85,9999360,532.77864027
192,90,506880,28.62934871
192,90,998400,54.06898166
192,90,5007360,263.00604697
192,90,9999360,538.76642355
192,95,506880,28.61192460
192,95,998400,53.94433226
192,95,5007360,260.61271549
192,95,9999360,536.20984945
192,100,506880,29.51198627
192,100,998400,55.72415376
192,100,5007360,270.18403092
192,100,9999360,540.82739605
256,,512000,31.62158343
256,,1003520,55.30492247
256,,4997120,252.90891062
256,,10014720,529.74815480
256,5,512000,27.62298876
256,5,1003520,52.35705369
256,5,4997120,254.31656589
256,5,10014720,515.51913687
256,10,512000,27.74429352
256,10,1003520,52.38452771
256,10,4997120,256.58511246
256,10,10014720,517.35981833
256,15,512000,28.91275411
256,15,1003520,53.04728014
256,15,4997120,252.58946698
256,15,10014720,513.83472358
256,20,512000,27.76660646
256,20,1003520,52.43039535
256,20,4997120,252.59513253
256,20,10014720,512.80208087
256,25,512000,27.67168917
256,25,1003520,52.12267085
256,25,4997120,253.15179179
256,25,10014720,512.91290826
256,30,512000,27.87363095
256,30,1003520,52.60788991
256,30,4997120,253.97810775
256,30,10014720,515.92562037
256,35,512000,27.74906655
256,35,1003520,52.15573280
256,35,4997120,255.70749616
256,35,10014720,517.04468206
256,40,512000,27.57878974
256,40,1003520,52.13807647
256,40,4997120,252.52745642
256,40,10014720,528.36971978
256,45,512000,27.95578136
256,45,1003520,53.99916942
256,45,4997120,253.08446493
256,45,10014720,516.30300004
256,50,512000,27.60917414
256,50,1003520,52.22492230
256,50,4997120,253.45295823
256,50,10014720,520.08583831
256,55,512000,27.61223974
256,55,1003520,52.27579580
256,55,4997120,258.17534576
256,55,10014720,515.66733358
256,60,512000,27.56004687
256,60,1003520,52.33260648
256,60,4997120,252.66160568
256,60,10014720,512.72086178
256,65,512000,27.89020073
256,65,1003520,53.04634882
256,65,4997120,255.19247477
256,65,10014720,516.38829367
256,70,512000,27.56920488
256,70,1003520,52.34323908
256,70,4997120,256.19527635
256,70,10014720,518.19513707
256,75,512000,27.63928690
256,75,1003520,52.40742272
256,75,4997120,252.79571613
256,75,10014720,512.48593566
256,80,512000,27.83179904
256,80,1003520,52.32756181
256,80,4997120,254.72964626
256,80,10014720,512.78419172
256,85,512000,27.58860743
256,85,1003520,53.78418912
256,85,4997120,252.84915076
256,85,10014720,514.78754419
256,90,512000,27.83812427
256,90,1003520,52.30703391
256,90,4997120,256.96722635
256,90,10014720,517.50789862
256,95,512000,31.47831497
256,95,1003520,53.87984371
256,95,4997120,252.75702743
256,95,10014720,515.54117817
256,100,512000,28.35450384
256,100,1003520,52.06997351
256,100,4997120,264.32036733
256,100,10014720,512.32780485
384,,522240,31.37854704
384,,1013760,53.75458083
384,,5007360,245.72977175
384,,10014720,495.58770843
384,5,522240,28.72998205
384,5,1013760,50.82207887
384,5,5007360,266.33928064
384,5,10014720,494.92340380
384,10,522240,26.93757415
384,10,1013760,50.88579686
384,10,5007360,245.33694765
384,10,10014720,498.92095073
384,15,522240,27.18635369
384,15,1013760,50.90062041
384,15,5007360,245.50229621
384,15,10014720,494.18253669
384,20,522240,26.99244457
384,20,1013760,50.96107877
384,20,5007360,247.55163273
384,20,10014720,496.11681607
384,25,522240,26.91809398
384,25,1013760,50.75222968
384,25,5007360,246.33590753
384,25,10014720,498.34453966
384,30,522240,28.30149606
384,30,1013760,52.26089464
384,30,5007360,245.90994387
384,30,10014720,510.01672788
384,35,522240,26.98022096
384,35,1013760,52.39155143
384,35,5007360,246.87083593
384,35,10014720,508.19490571
384,40,522240,26.88441115
384,40,1013760,50.84408137
384,40,5007360,245.26112247
384,40,10014720,494.82204486
384,45,522240,26.84529560
384,45,1013760,52.83928476
384,45,5007360,246.62593690
384,45,10014720,497.58601623
384,50,522240,26.92247896
384,50,1013760,50.65832132
384,50,5007360,254.47644293
384,50,10014720,494.00348992
384,55,522240,26.86613395
384,55,1013760,52.66524386
384,55,5007360,250.75425704
384,55,10014720,496.64219841
384,60,522240,29.17367965
384,60,1013760,50.76619952
384,60,5007360,245.17330651
384,60,10014720,494.01839109
384,65,522240,27.02185884
384,65,1013760,50.83046077
384,65,5007360,247.27642691
384,65,10014720,502.46544803
384,70,522240,26.95794683
384,70,1013760,50.83857104
384,70,5007360,245.73272094
384,70,10014720,495.94273635
384,75,522240,26.91169114
384,75,1013760,50.82848171
384,75,5007360,249.15839701
384,75,10014720,495.44118034
384,80,522240,26.91677461
384,80,1013760,50.68641622
384,80,5007360,245.29822016
384,80,10014720,503.16137883
384,85,522240,27.30560179
384,85,1013760,52.20051389
384,85,5007360,247.28228649
384,85,10014720,499.07477417
384,90,522240,26.95604538
384,90,1013760,51.03542935
384,90,5007360,246.89307126
384,90,10014720,496.58585340
384,95,522240,27.53715186
384,95,1013760,53.58989195
384,95,5007360,247.45749154
384,95,10014720,501.47498647
384,100,522240,27.09795566
384,100,1013760,50.84012325
384,100,5007360,245.16775738
384,100,10014720,497.42625561
512,,491520,29.58870027
512,,1024000,53.16703270
512,,4997120,248.67018995
512,,9994240,487.26614720
512,5,491520,24.92483084
512,5,1024000,50.50888285
512,5,4997120,244.94396833
512,5,9994240,482.42528768
512,10,491520,24.88878090
512,10,1024000,50.34873417
512,10,4997120,240.70338501
512,10,9994240,487.47526792
512,15,491520,24.89502852
512,15,1024000,50.43604566
512,15,4997120,240.45743824
512,15,9994240,481.52892850
512,20,491520,24.98078781
512,20,1024000,50.34081793
512,20,4997120,241.84553574
512,20,9994240,557.78678507
512,25,491520,25.12378463
512,25,1024000,50.28086404
512,25,4997120,322.01758586
512,25,9994240,602.69061942
512,30,491520,37.25891778
512,30,1024000,88.42135624
512,30,4997120,283.24065109
512,30,9994240,533.73743625
512,35,491520,26.55239465
512,35,1024000,50.34760882
512,35,4997120,240.76927608
512,35,9994240,483.88525223
512,40,491520,25.47811406
512,40,1024000,50.59072282
512,40,4997120,240.70148356
512,40,9994240,486.14041104
512,45,491520,24.90593276
512,45,1024000,50.31555581
512,45,4997120,249.41974940
512,45,9994240,482.04705430
512,50,491520,24.99324425
512,50,1024000,50.34252536
512,50,4997120,240.65010560
512,50,9994240,485.80754083
512,55,491520,25.31874149
512,55,1024000,50.32079450
512,55,4997120,240.23399844
512,55,9994240,481.96606804
512,60,491520,24.81299452
512,60,1024000,51.05176630
512,60,4997120,242.21569765
512,60,9994240,482.25023784
512,65,491520,24.88408548
512,65,1024000,50.47663581
512,65,4997120,246.59714351
512,65,9994240,483.06421377
512,70,491520,25.28311840
512,70,1024000,50.50550681
512,70,4997120,244.12649994
512,70,9994240,485.70175810
512,75,491520,25.06499489
512,75,1024000,50.42234746
512,75,4997120,241.79291601
512,75,9994240,494.95056737
512,80,491520,24.95222725
512,80,1024000,50.92052743
512,80,4997120,241.16986121
512,80,9994240,481.77006344
512,85,491520,24.84885044
512,85,1024000,54.17127007
512,85,4997120,241.06885151
512,85,9994240,486.61852876
512,90,491520,24.90418653
512,90,1024000,50.35439972
512,90,4997120,242.59319374
512,90,9994240,482.42874133
512,95,491520,24.90550590
512,95,1024000,50.27158962
512,95,4997120,254.99192998
512,95,9994240,481.30195743
512,100,491520,24.87578119
512,100,1024000,50.32032883
512,100,4997120,240.66617091
512,100,9994240,482.74558503
768,,491520,28.48126871
768,,1044480,52.74799232
768,,5038080,242.01903565
768,,10014720,475.90072248
768,5,491520,24.53961939
768,5,1044480,50.39821068
768,5,5038080,238.60604886
768,5,10014720,477.16399764
768,10,491520,24.53008703
768,10,1044480,50.48462281
768,10,5038080,239.68762481
768,10,10014720,475.42490796
768,15,491520,24.40872292
768,15,1044480,51.34958409
768,15,5038080,238.81561470
768,15,10014720,482.81011336
768,20,491520,24.34265380
768,20,1044480,53.58819138
768,20,5038080,242.03353507
768,20,10014720,474.61228336
768,25,491520,25.66546056
768,25,1044480,50.45909362
768,25,5038080,238.56353672
768,25,10014720,477.82012353
768,30,491520,24.42227275
768,30,1044480,53.97416067
768,30,5038080,239.23313939
768,30,10014720,474.51575451
768,35,491520,24.42274754
768,35,1044480,50.52636798
768,35,5038080,241.43011108
768,35,10014720,475.63246506
768,40,491520,24.47869994
768,40,1044480,50.50693803
768,40,5038080,246.26400395
768,40,10014720,477.01239294
768,45,491520,24.45967174
768,45,1044480,50.39894113
768,45,5038080,239.21601036
768,45,10014720,476.62792106
768,50,491520,24.45225768
768,50,1044480,51.84997823
768,50,5038080,245.63092373
768,50,10014720,483.40265365
768,55,491520,24.42398930
768,55,1044480,50.41460927
768,55,5038080,238.67657372
768,55,10014720,474.85880992
768,60,491520,24.47219894
768,60,1044480,50.64455464
768,60,5038080,242.44897798
768,60,10014720,477.95952973
768,65,491520,24.52424344
768,65,1044480,50.61215922
768,65,5038080,240.61303074
768,65,10014720,476.08117993
768,70,491520,24.38885470
768,70,1044480,50.61453318
768,70,5038080,238.76094058
768,70,10014720,481.97729184
768,75,491520,29.02687765
768,75,1044480,50.60364949
768,75,5038080,239.62988281
768,75,10014720,477.49452585
768,80,491520,24.38553116
768,80,1044480,50.52603927
768,80,5038080,242.06728181
768,80,10014720,481.55622447
768,85,491520,24.44418622
768,85,1044480,56.04282898
768,85,5038080,252.59042341
768,85,10014720,476.69322321
768,90,491520,36.57654366
768,90,1044480,70.13505434
768,90,5038080,246.09822853
768,90,10014720,563.48700880
768,95,491520,24.41076817
768,95,1044480,50.49159860
768,95,5038080,238.45776769
768,95,10014720,475.03908475
768,100,491520,24.46215527
768,100,1044480,50.68688416
768,100,5038080,242.63714166
768,100,10014720,481.16645684
1024,,491520,27.19078643
1024,,983040,50.10712462
1024,,4997120,234.89706935
1024,,9994240,471.02624264
1024,5,491520,24.37077749
1024,5,983040,47.18252099
1024,5,4997120,237.98089331
1024,5,9994240,468.55805872
1024,10,491520,24.57040290
1024,10,983040,47.30044076
1024,10,4997120,234.60244903
1024,10,9994240,470.67491911
1024,15,491520,24.28215857
1024,15,983040,47.49505136
1024,15,4997120,234.71037499
1024,15,9994240,471.73003594
1024,20,491520,24.30074920
