tpb,gpuA,nX,time
128,,102400,520.52930473
128,,204800,933.25366207
128,,307200,1368.99238730
128,,399360,1744.28050981
128,,604160,2635.65013859
128,,798720,3444.87446103
128,,1198080,5199.28526371
128,,1607680,6916.90311787
128,,2406400,10343.61124039
128,,3205120,13789.14103546
128,,4802560,21240.87484752
128,,6400000,27435.31394988
128,,9605120,41164.24525830
128,,12800000,55555.42384056
128,5,102400,519.13101305
128,5,204800,920.30146179
128,5,307200,1385.88887738
128,5,399360,1820.24611438
128,5,604160,2657.82231346
128,5,798720,3440.30459986
128,5,1198080,5176.34456938
128,5,1607680,6909.27356482
128,5,2406400,10351.59410156
128,5,3205120,13776.71100992
128,5,4802560,20609.77381436
128,5,6400000,27426.01919206
128,5,9605120,41196.01857630
128,5,12800000,55373.51220846
128,10,102400,511.50542307
128,10,204800,919.68944415
128,10,307200,1374.08525544
128,10,399360,1741.31474279
128,10,604160,2625.09944274
128,10,798720,3447.53895510
128,10,1198080,5177.48109996
128,10,1607680,6902.96010927
128,10,2406400,10348.96087615
128,10,3205120,13778.80581199
128,10,4802560,20617.21377392
128,10,6400000,27833.00747421
128,10,9605120,41259.74176729
128,10,12800000,54885.94847315
128,15,102400,511.42703345
128,15,204800,924.23889548
128,15,307200,1362.82857745
128,15,399360,1739.58565326
128,15,604160,2628.07000508
128,15,798720,3465.97941949
128,15,1198080,5162.58314886
128,15,1607680,6916.47399613
128,15,2406400,10355.63984608
128,15,3205120,13733.23790253
128,15,4802560,21163.24788237
128,15,6400000,27489.31932481
128,15,9605120,41132.30259812
128,15,12800000,55482.24705172
128,20,102400,511.93081952
128,20,204800,1207.11405861
128,20,307200,1394.95112160
128,20,399360,1761.38728064
128,20,604160,2671.70001059
128,20,798720,3510.30656949
128,20,1198080,5175.09830125
128,20,1607680,6917.92800864
128,20,2406400,10344.37226964
128,20,3205120,13788.31738963
128,20,4802560,20608.90681249
128,20,6400000,27472.73143936
128,20,9605120,41193.73283329
128,20,12800000,55326.40242513
128,25,102400,511.73805556
128,25,204800,918.76466065
128,25,307200,1365.75269255
128,25,399360,1751.33731930
128,25,604160,2625.02775072
128,25,798720,3455.65925570
128,25,1198080,5177.38693731
128,25,1607680,6924.88177818
128,25,2406400,10356.47867049
128,25,3205120,13741.56301484
128,25,4802560,20636.91160305
128,25,6400000,27452.59069699
128,25,9605120,41622.13455965
128,25,12800000,54785.00182483
128,30,102400,527.32146008
128,30,204800,921.46216713
128,30,307200,1362.67259083
128,30,399360,1747.04586413
128,30,604160,2642.69664408
128,30,798720,3451.53250593
128,30,1198080,5169.93817972
128,30,1607680,6924.99662809
128,30,2406400,10331.15466224
128,30,3205120,13763.71335317
128,30,4802560,20764.88372652
128,30,6400000,27948.04661832
128,30,9605120,41109.21645894
128,30,12800000,54960.70617215
128,35,102400,511.41133968
128,35,204800,919.23468132
128,35,307200,1676.40076673
128,35,399360,1828.25390329
128,35,604160,3095.65496889
128,35,798720,3518.63627897
128,35,1198080,5224.13334631
128,35,1607680,6911.94677765
128,35,2406400,10347.54534510
128,35,3205120,13771.22377620
128,35,4802560,20622.81740314
128,35,6400000,27508.02555300
128,35,9605120,41149.32265687
128,35,12800000,55554.72760759
128,40,102400,510.94207199
128,40,204800,931.81803823
128,40,307200,1376.87486378
128,40,399360,1740.66551188
128,40,604160,2635.44726879
128,40,798720,3451.72645881
128,40,1198080,5180.17036325
128,40,1607680,6923.73985781
128,40,2406400,10349.57661908
128,40,3205120,13749.63702674
128,40,4802560,20657.74358492
128,40,6400000,27480.37034527
128,40,9605120,41697.12394000
128,40,12800000,54825.17713879
128,45,102400,513.06053362
128,45,204800,919.90444096
128,45,307200,1370.33571113
128,45,399360,1742.62612424
128,45,604160,2625.29335599
128,45,798720,3462.68483616
128,45,1198080,5165.49022274
128,45,1607680,6924.97926982
128,45,2406400,10333.34323066
128,45,3205120,13772.25524568
128,45,4802560,20592.65119123
128,45,6400000,28026.26241712
128,45,9605120,41170.60821266
128,45,12800000,54981.96034038
128,50,102400,563.73316081
128,50,204800,917.87281030
128,50,307200,1363.15307402
128,50,399360,1739.70676483
128,50,604160,2768.07846224
128,50,798720,3697.57679390
128,50,1198080,5384.91735116
128,50,1607680,6979.93843796
128,50,2406400,10327.12805937
128,50,3205120,13764.59684144
128,50,4802560,20644.08298503
128,50,6400000,27414.38625975
128,50,9605120,41168.17825335
128,50,12800000,55300.34687291
128,55,102400,511.14557588
128,55,204800,930.06988631
128,55,307200,1378.59127147
128,55,399360,1737.84031513
128,55,604160,2642.28135347
128,55,798720,3438.48154583
128,55,1198080,5172.32747788
128,55,1607680,6914.28265356
128,55,2406400,10348.18371718
128,55,3205120,13749.85903819
128,55,4802560,20609.06275948
128,55,6400000,27426.83851814
128,55,9605120,41603.96493179
128,55,12800000,54850.06401989
128,60,102400,512.97152296
128,60,204800,920.67145445
128,60,307200,1384.05619308
128,60,399360,1736.39478360
128,60,604160,2626.50811767
128,60,798720,3448.06180355
128,60,1198080,5164.71789872
128,60,1607680,6912.87179894
128,60,2406400,10348.52755355
128,60,3205120,13793.41877838
128,60,4802560,20677.28653709
128,60,6400000,28181.74366938
128,60,9605120,41162.69660757
128,60,12800000,54907.32866716
128,65,102400,512.90965936
128,65,204800,923.14928770
128,65,307200,1371.11742763
128,65,399360,1870.39200930
128,65,604160,2699.60104785
128,65,798720,3442.32073490
128,65,1198080,5662.02410041
128,65,1607680,7278.33113930
128,65,2406400,10337.58213545
128,65,3205120,13740.62994852
128,65,4802560,20595.93582724
128,65,6400000,27457.06223427
128,65,9605120,41171.38228042
128,65,12800000,55560.27408927
128,70,102400,516.27070346
128,70,204800,927.35977725
128,70,307200,1362.24984964
128,70,399360,1758.13030689
128,70,604160,2637.38430085
128,70,798720,3441.79110958
128,70,1198080,5174.56728886
128,70,1607680,6921.46247689
128,70,2406400,10355.12080218
128,70,3205120,13761.44397766
128,70,4802560,20635.98123161
128,70,6400000,27470.73452523
128,70,9605120,41572.63242659
128,70,12800000,54860.99861879
128,75,102400,511.21449375
128,75,204800,920.23076054
128,75,307200,1365.16912979
128,75,399360,1744.24650663
128,75,604160,2635.04937608
128,75,798720,3450.96792629
128,75,1198080,5177.10658940
128,75,1607680,6915.12770000
128,75,2406400,10333.65151825
128,75,3205120,13760.24439455
