tpb,gpuA,nX,time
64,,10240,2012.70433267
64,,51200,566.50547187
64,,102400,2875.95434984
64,,2001920,17051.06560389
64,,8002560,84298.71336618
64,5,10240,363.82973194
64,5,51200,653.94202868
64,5,102400,837.61787415
64,5,2001920,10555.31922976
64,5,8002560,82382.39940006
64,10,10240,1798.06133111
64,10,51200,1320.98392646
64,10,102400,2499.35805798
64,10,2001920,17265.14470577
64,10,8002560,87080.08376756
64,15,10240,928.00231775
64,15,51200,1975.89572271
64,15,102400,1722.78598944
64,15,2001920,15383.69524479
64,15,8002560,84008.90135764
64,20,10240,1492.84243584
64,20,51200,1157.09213416
64,20,102400,2123.43863646
64,20,2001920,16217.85620848
64,20,8002560,80291.56959056
64,25,10240,427.11714904
64,25,51200,693.40916475
64,25,102400,796.70480887
64,25,2001920,10682.10701148
64,25,8002560,78957.05461501
64,30,10240,330.33184210
64,30,51200,606.22406006
64,30,102400,786.79517905
64,30,2001920,9711.69610818
64,30,8002560,68100.95302263
64,35,10240,339.60322539
64,35,51200,602.26257642
64,35,102400,800.49443245
64,35,2001920,10594.86114979
64,35,8002560,72135.44857501
64,40,10240,347.51967589
64,40,51200,531.03562196
64,40,102400,756.45764669
64,40,2001920,9486.49879296
64,40,8002560,68411.39423846
64,45,10240,2380.37697474
64,45,51200,675.41237672
64,45,102400,832.81326294
64,45,2001920,9997.26764361
64,45,8002560,67953.02780468
64,50,10240,350.56940715
64,50,51200,594.39504147
64,50,102400,772.81777064
64,50,2001920,9912.15177377
64,50,8002560,67981.71718914
64,55,10240,490.62987169
64,55,51200,2879.14899985
64,55,102400,952.64875889
64,55,2001920,9735.39773623
64,55,8002560,67830.60395717
64,60,10240,379.83628114
64,60,51200,544.04850801
64,60,102400,878.90625000
64,60,2001920,9679.00303999
64,60,8002560,69500.71243444
64,65,10240,381.79723422
64,65,51200,515.60052236
64,65,102400,801.90809568
64,65,2001920,9933.07693799
64,65,8002560,68021.05323473
64,70,10240,357.66534011
64,70,51200,579.81006304
64,70,102400,778.76226107
64,70,2001920,9710.02280712
64,70,8002560,70486.13941669
64,75,10240,366.36968454
64,75,51200,585.36076546
64,75,102400,777.17657884
64,75,2001920,9877.73323059
64,75,8002560,68057.34376112
64,80,10240,333.82209142
64,80,51200,561.17630005
64,80,102400,831.82835579
64,80,2001920,9850.93033314
64,80,8002560,68824.81427987
64,85,10240,336.57733599
64,85,51200,535.37034988
64,85,102400,768.57368151
64,85,2001920,10282.00932344
64,85,8002560,70312.80136107
64,90,10240,369.74370480
64,90,51200,554.39686775
64,90,102400,786.96624438
64,90,2001920,10567.25064913
64,90,8002560,68713.60699335
64,95,10240,344.19755141
64,95,51200,577.05533504
64,95,102400,736.90934976
64,95,2001920,9826.42312844
64,95,8002560,69143.96492639
64,100,10240,356.21074835
64,100,51200,583.18746090
64,100,102400,793.25401783
64,100,2001920,9790.46003024
64,100,8002560,68033.92966587
96,,15360,370.04025777
96,,53760,540.24608930
96,,99840,787.43183613
96,,2004480,9918.67597898
96,,8002560,68907.25612639
96,5,15360,450.02555847
96,5,53760,605.52819570
96,5,99840,784.99321143
96,5,2004480,9543.46048832
96,5,8002560,68384.57429408
96,10,15360,407.04294046
96,10,53760,536.64131959
96,10,99840,803.94017696
96,10,2004480,10039.65381781
96,10,8002560,69767.52404371
96,15,15360,383.40870539
96,15,53760,530.11798859
96,15,99840,792.89841652
96,15,2004480,9927.60952314
96,15,8002560,67929.72977955
96,20,15360,381.12850984
96,20,53760,529.22042211
96,20,99840,753.92425060
96,20,2004480,9933.60881011
96,20,8002560,69520.60353755
96,25,15360,358.47433408
96,25,53760,603.03815206
96,25,99840,761.08256976
96,25,2004480,9883.89786084
96,25,8002560,67945.60150305
96,30,15360,395.19762993
96,30,53760,595.85062663
96,30,99840,888.13475768
96,30,2004480,10695.22066911
96,30,8002560,68349.77118173
96,35,15360,399.82998371
96,35,53760,522.92406559
96,35,99840,782.92016188
96,35,2004480,10011.37129466
96,35,8002560,67880.02932071
96,40,15360,407.42584070
96,40,53760,543.96677017
96,40,99840,745.72340647
96,40,2004480,9809.19027328
96,40,8002560,69258.58918825
96,45,15360,363.37681611
96,45,53760,637.72559166
96,45,99840,759.80011622
96,45,2004480,9719.32518482
96,45,8002560,68663.46152623
96,50,15360,381.11869494
96,50,53760,553.85212104
96,50,99840,803.63134543
96,50,2004480,10152.24683285
96,50,8002560,68031.71936670
96,55,15360,350.97054640
96,55,53760,572.13894526
96,55,99840,769.42769686
96,55,2004480,9835.62910557
96,55,8002560,68896.06436093
96,60,15360,349.94935989
96,60,53760,543.31203302
96,60,99840,753.53976091
96,60,2004480,10240.47485987
96,60,8002560,68422.73366450
96,65,15360,402.57060528
96,65,53760,509.07039642
96,65,99840,844.38153108
96,65,2004480,9612.66875267
96,65,8002560,70649.36665693
96,70,15360,384.87788041
96,70,53760,515.39524396
96,70,99840,784.01128451
96,70,2004480,9659.02396043
96,70,8002560,67973.82815678
96,75,15360,367.55609512
96,75,53760,540.40928682
96,75,99840,742.89770921
96,75,2004480,10063.31384182
96,75,8002560,69204.97314134
96,80,15360,384.55212116
96,80,53760,584.49220657
96,80,99840,798.92015457
96,80,2004480,9713.49271138
96,80,8002560,68033.82321198
96,85,15360,390.73359966
96,85,53760,552.19817162
96,85,99840,729.07980283
96,85,2004480,11324.38735167
96,85,8002560,68200.38719971
96,90,15360,401.53761705
96,90,53760,579.37773069
96,90,99840,782.27917353
96,90,2004480,10350.35328070
96,90,8002560,68192.98434257
96,95,15360,375.55539608
96,95,53760,575.71538289
96,95,99840,745.64548333
96,95,2004480,11512.10904121
96,95,8002560,68109.03660455
96,100,15360,391.79929097
96,100,53760,575.02210140
96,100,99840,811.50611242
96,100,2004480,9899.16451772
96,100,8002560,69937.20197677
128,,10240,325.38060347
128,,51200,581.57896996
128,,102400,774.75051085
128,,2007040,9987.17939854
128,,8007680,68002.85605589
128,5,10240,363.24799061
128,5,51200,521.79920673
128,5,102400,733.35587978
128,5,2007040,9911.02866332
128,5,8007680,69369.63125069
128,10,10240,398.31904570
128,10,51200,527.42660046
128,10,102400,787.61216005
128,10,2007040,9689.74467118
128,10,8007680,67905.08413314
128,15,10240,329.56675688
128,15,51200,613.79392942
128,15,102400,761.56997681
128,15,2007040,9676.87729994
128,15,8007680,70111.11704508
128,20,10240,347.49674797
128,20,51200,544.15440559
128,20,102400,810.57524681
128,20,2007040,9850.58697065
128,20,8007680,69398.43531449
128,25,10240,356.63815339
128,25,51200,551.73933506
