tpb,gpuA,nX,time
64,,501760,2640.28577010
64,,1003520,5084.20932293
64,,5002240,42461.00473403
64,,9999360,85057.57363636
64,5,501760,2535.05321344
64,5,1003520,4773.62620830
64,5,5002240,43681.21099471
64,5,9999360,86118.35114160
64,10,501760,2515.72604974
64,10,1003520,5165.58452447
64,10,5002240,44202.60711510
64,10,9999360,84926.02535088
64,15,501760,2512.14905580
64,15,1003520,4676.23349031
64,15,5002240,43436.00861231
64,15,9999360,85249.15154774
64,20,501760,2516.10493660
64,20,1003520,4782.23975499
64,20,5002240,43409.26003456
64,20,9999360,85302.43225891
64,25,501760,2507.06120332
64,25,1003520,4721.49256865
64,25,5002240,42982.14431603
64,25,9999360,87521.02494239
64,30,501760,2498.22402000
64,30,1003520,4723.05631638
64,30,5002240,42887.32544581
64,30,9999360,86372.32192356
64,35,501760,2620.47354380
64,35,1003520,4716.10116959
64,35,5002240,42700.24712880
64,35,9999360,87066.32741291
64,40,501760,2596.07088566
64,40,1003520,4799.37454065
64,40,5002240,42601.99109713
64,40,9999360,85987.21317449
64,45,501760,2502.35303243
64,45,1003520,4681.52705828
64,45,5002240,42614.70262209
64,45,9999360,85879.03980413
64,50,501760,2503.31278642
64,50,1003520,4676.60856247
64,50,5002240,42926.37598514
64,50,9999360,86575.11949538
64,55,501760,2561.07978026
64,55,1003520,4753.13961506
64,55,5002240,42578.37875684
64,55,9999360,86197.45616117
64,60,501760,3886.89132531
64,60,1003520,5976.66418552
64,60,5002240,42492.91519323
64,60,9999360,84936.55804792
64,65,501760,3595.34076850
64,65,1003520,5111.72000567
64,65,5002240,43024.20198917
64,65,9999360,85156.37918312
64,70,501760,2537.06638018
64,70,1003520,4723.98893038
64,70,5002240,43900.17910798
64,70,9999360,85270.23255824
64,75,501760,2559.23112233
64,75,1003520,5212.14663982
64,75,5002240,43858.35250218
64,75,9999360,85693.19820403
64,80,501760,2557.49952793
64,80,1003520,4742.01154709
64,80,5002240,43333.56181780
64,80,9999360,85342.39963689
64,85,501760,2526.91165606
64,85,1003520,4655.79752127
64,85,5002240,43381.17559750
64,85,9999360,84900.43699740
64,90,501760,2563.81344795
64,90,1003520,4755.51084677
