tpb,gpuA,nX,time
64,,10240,117.81369277
64,,51200,328.65263997
64,,102400,522.65299762
64,,2001920,8662.68908090
64,,8002560,34708.22823967
64,5,10240,109.46928028
64,5,51200,313.22335943
64,5,102400,520.56675579
64,5,2001920,8830.45895620
64,5,8002560,35122.30674003
64,10,10240,110.90613268
64,10,51200,336.07100077
64,10,102400,523.49792516
64,10,2001920,8990.42212900
64,10,8002560,35497.18880590
64,15,10240,110.70088503
64,15,51200,363.79865351
64,15,102400,561.89362039
64,15,2001920,9403.32561731
64,15,8002560,36066.30901390
64,20,10240,108.79452717
64,20,51200,316.19253469
64,20,102400,537.03388635
64,20,2001920,9271.39909819
64,20,8002560,36146.19453537
64,25,10240,108.55515745
64,25,51200,313.12067616
64,25,102400,566.53271647
64,25,2001920,9042.80632893
64,25,8002560,35457.03025574
64,30,10240,111.15501377
64,30,51200,316.32272170
64,30,102400,524.94547786
64,30,2001920,8986.89519059
64,30,8002560,35761.99829261
64,35,10240,112.53618497
64,35,51200,323.42661251
64,35,102400,542.69256268
64,35,2001920,8831.81674525
64,35,8002560,35325.87748734
64,40,10240,108.21389708
64,40,51200,313.20520855
64,40,102400,524.25931109
64,40,2001920,8629.90842855
64,40,8002560,35122.14845482
64,45,10240,109.38102261
64,45,51200,312.96239096
64,45,102400,518.42812211
64,45,2001920,8632.66320146
64,45,8002560,34606.77566522
64,50,10240,110.93807506
64,50,51200,317.14395006
64,50,102400,517.05638303
64,50,2001920,8625.82055654
64,50,8002560,35171.50807571
64,55,10240,112.72332136
64,55,51200,319.96863161
64,55,102400,523.88337381
64,55,2001920,8678.89397480
64,55,8002560,34511.72357544
64,60,10240,109.49381171
64,60,51200,317.04843995
64,60,102400,516.35622661
64,60,2001920,8623.91859769
64,60,8002560,34448.62337981
64,65,10240,111.05621432
64,65,51200,316.11255984
64,65,102400,531.58239957
64,65,2001920,8665.18506503
64,65,8002560,35109.67245761
64,70,10240,108.91880919
64,70,51200,316.13332636
64,70,102400,515.80571589
64,70,2001920,8632.89008749
64,70,8002560,34490.40540355
64,75,10240,109.07206130
64,75,51200,318.15861609
64,75,102400,515.62682270
64,75,2001920,8616.42565182
64,75,8002560,34516.94270715
64,80,10240,112.04543741
64,80,51200,323.74564003
64,80,102400,533.93305775
64,80,2001920,9368.56009859
64,80,8002560,35009.30239704
64,85,10240,109.31507704
64,85,51200,312.62105133
64,85,102400,519.00918813
64,85,2001920,8662.83829066
64,85,8002560,34940.49283735
64,90,10240,110.93569721
64,90,51200,316.49852370
64,90,102400,517.64252179
64,90,2001920,8876.84654841
64,90,8002560,34941.48721245
64,95,10240,108.71506752
64,95,51200,321.96300937
64,95,102400,520.91820126
64,95,2001920,8789.39619090
64,95,8002560,35057.22064763
64,100,10240,144.83025099
64,100,51200,388.87068946
64,100,102400,563.19560935
64,100,2001920,8764.06944813
64,100,8002560,35030.09490669
96,,15360,145.05083184
96,,53760,331.37344744
96,,99840,512.85447194
96,,2004480,8759.20983425
96,,8002560,34886.91905105
96,5,15360,139.03499758
96,5,53760,326.24562740
96,5,99840,504.00563604
96,5,2004480,8846.69069275
96,5,8002560,35289.90633143
96,10,15360,139.97921272
96,10,53760,330.02893922
96,10,99840,507.92576941
96,10,2004480,8762.25818043
96,10,8002560,34884.98783681
96,15,15360,138.84150016
96,15,53760,325.98231418
96,15,99840,520.62413132
96,15,2004480,8783.28706322
96,15,8002560,35598.14549854
96,20,15360,138.46922839
96,20,53760,329.36062313
96,20,99840,504.51077155
96,20,2004480,8787.08961000
96,20,8002560,34797.24619810
96,25,15360,160.46714181
96,25,53760,326.24087802
96,25,99840,503.21601302
96,25,2004480,8722.71607913
96,25,8002560,35449.43978587
96,30,15360,140.03545323
96,30,53760,333.48193207
96,30,99840,530.29369865
96,30,2004480,8747.85503068
96,30,8002560,34661.60300560
96,35,15360,138.77631500
96,35,53760,331.23967340
96,35,99840,503.40575051
96,35,2004480,8739.57679250
96,35,8002560,34727.31340612
96,40,15360,139.08890297
96,40,53760,341.69498509
96,40,99840,503.50544779
96,40,2004480,9355.87045523
96,40,8002560,34741.93150462
96,45,15360,155.49062891
96,45,53760,357.58833011
96,45,99840,726.50055328
96,45,2004480,10809.78166060
96,45,8002560,40439.87575439
96,50,15360,152.50905102
96,50,53760,328.17082576
96,50,99840,508.48825361
96,50,2004480,8820.58195859
96,50,8002560,35084.00683542
96,55,15360,140.40412339
96,55,53760,329.03909050
96,55,99840,508.75829510
96,55,2004480,8723.29055551
96,55,8002560,35451.29592042
96,60,15360,140.79357207
96,60,53760,326.38474448
96,60,99840,526.44615154
96,60,2004480,8747.90307852
96,60,8002560,37336.52841997
96,65,15360,139.45460478
96,65,53760,328.22710584
96,65,99840,503.18961441
96,65,2004480,8625.59521816
96,65,8002560,34791.30465196
96,70,15360,139.50613549
96,70,53760,402.25821187
96,70,99840,506.94122416
96,70,2004480,8872.74453206
96,70,8002560,34807.28447516
96,75,15360,141.41993535
