tpb,gpuA,nX,time
64,,10240,153.07509726
64,,51200,152.09190370
64,,102400,172.49180940
64,,2001920,295.84622904
64,,8002560,5114.34757199
64,5,10240,132.43534271
64,5,51200,171.00849701
64,5,102400,141.21090247
64,5,2001920,288.85481576
64,5,8002560,5677.37918479
64,10,10240,145.65110584
64,10,51200,141.52095390
64,10,102400,146.04534473
64,10,2001920,306.00494235
64,10,8002560,5597.35071697
64,15,10240,145.98849137
64,15,51200,149.83540951
64,15,102400,141.57562211
64,15,2001920,289.69593553
64,15,8002560,5359.49447357
64,20,10240,152.82630920
64,20,51200,135.34213439
64,20,102400,137.55103227
64,20,2001920,299.29823288
64,20,8002560,5079.10107398
64,25,10240,151.22197982
64,25,51200,139.66553212
64,25,102400,174.35291254
64,25,2001920,282.01807064
64,25,8002560,5793.25772587
64,30,10240,162.36269480
64,30,51200,136.73096930
64,30,102400,133.78051455
64,30,2001920,287.18262787
64,30,8002560,5424.67897126
64,35,10240,141.46092216
64,35,51200,148.39798505
64,35,102400,153.01538336
64,35,2001920,294.80109670
64,35,8002560,5945.39583534
64,40,10240,160.73293834
64,40,51200,160.90759057
64,40,102400,238.43455048
64,40,2001920,1356.07418269
64,40,8002560,5722.63302554
64,45,10240,144.53775742
64,45,51200,157.51951199
64,45,102400,138.04678082
64,45,2001920,275.55661328
64,45,8002560,4920.19455466
64,50,10240,142.29640029
64,50,51200,138.24046363
64,50,102400,129.43530516
64,50,2001920,288.36979427
64,50,8002560,5453.88475058
64,55,10240,151.15380347
64,55,51200,144.54474987
64,55,102400,144.53692310
64,55,2001920,302.96886986
64,55,8002560,5192.36356611
64,60,10240,139.43331140
64,60,51200,138.46028866
64,60,102400,148.03127892
64,60,2001920,308.59600125
64,60,8002560,5331.21547149
64,65,10240,149.68066191
64,65,51200,151.21133223
64,65,102400,162.69650465
64,65,2001920,280.99776943
64,65,8002560,5031.11866946
64,70,10240,149.19381284
64,70,51200,155.34732445
64,70,102400,155.20203255
64,70,2001920,292.61174589
64,70,8002560,5486.14277241
64,75,10240,148.66715450
64,75,51200,153.21347619
64,75,102400,273.60055590
64,75,2001920,293.55143531
64,75,8002560,5536.82457902
64,80,10240,140.88325075
64,80,51200,156.43023984
64,80,102400,181.71985196
64,80,2001920,293.03629862
64,80,8002560,5755.16160737
