tpb,gpuA,nX,time
64,,10240,6.99423254
64,,51200,10.20701800
64,,102400,28.84896512
64,,2001920,125.53978632
64,,8002560,495.91028785
64,5,10240,6.70013276
64,5,51200,7.08807815
64,5,102400,10.01639411
64,5,2001920,125.36505435
64,5,8002560,500.18850635
64,10,10240,6.70239171
64,10,51200,7.11922791
64,10,102400,9.87927172
64,10,2001920,124.90014605
64,10,8002560,501.35888159
64,15,10240,8.54292290
64,15,51200,7.12568773
64,15,102400,10.92532531
64,15,2001920,125.56665597
64,15,8002560,506.75310194
64,20,10240,6.69422777
64,20,51200,7.37508402
64,20,102400,9.97351364
64,20,2001920,125.67159819
64,20,8002560,495.11814847
64,25,10240,6.69735860
64,25,51200,8.16460778
64,25,102400,10.10362138
64,25,2001920,124.65586212
64,25,8002560,496.76298303
64,30,10240,6.69204808
64,30,51200,6.89892059
64,30,102400,10.64909899
64,30,2001920,143.37223578
64,30,8002560,494.24456789
64,35,10240,6.69192919
64,35,51200,7.19492264
64,35,102400,9.94450393
64,35,2001920,125.47372186
64,35,8002560,498.55758218
64,40,10240,6.69676414
64,40,51200,7.89381088
64,40,102400,11.64593120
64,40,2001920,124.50482934
64,40,8002560,494.51247175
64,45,10240,6.69196882
64,45,51200,7.08046904
64,45,102400,10.07576097
64,45,2001920,126.18449933
64,45,8002560,495.39924936
64,50,10240,6.68776796
64,50,51200,6.93993841
64,50,102400,9.94042196
64,50,2001920,125.26011213
64,50,8002560,495.37404421
64,55,10240,8.14162195
64,55,51200,7.16234617
64,55,102400,10.10389880
64,55,2001920,126.33553211
64,55,8002560,500.07698542
64,60,10240,6.69838900
64,60,51200,13.64700655
64,60,102400,10.17380744
64,60,2001920,124.31440360
64,60,8002560,504.20757938
64,65,10240,6.69375221
64,65,51200,7.04329540
64,65,102400,11.48681374
64,65,2001920,129.75451636
64,65,8002560,499.18612584
64,70,10240,6.71019897
64,70,51200,6.93026851
64,70,102400,10.54098631
64,70,2001920,177.26183572
64,70,8002560,533.72872161
64,75,10240,6.69474297
64,75,51200,30.94761137
64,75,102400,10.21763904
64,75,2001920,124.05462405
64,75,8002560,494.24171448
64,80,10240,6.69854753
64,80,51200,7.77448270
64,80,102400,10.88165222
64,80,2001920,124.58234708
64,80,8002560,495.96406678
64,85,10240,7.84201349
64,85,51200,7.55738546
64,85,102400,10.27898744
64,85,2001920,124.83733132
64,85,8002560,497.03405734
64,90,10240,6.68689609
64,90,51200,7.20748559
64,90,102400,92.77569962
64,90,2001920,125.24588469
64,90,8002560,730.42904284
64,95,10240,74.57825098
64,95,51200,6.95178800
64,95,102400,10.26919865
64,95,2001920,126.17776210
64,95,8002560,500.42074253
64,100,10240,6.70694924
64,100,51200,67.24584927
64,100,102400,76.80133778
64,100,2001920,217.85164767
64,100,8002560,545.66494803
96,,15360,7.29750862
96,,53760,7.61902679
96,,99840,11.25956181
96,,2004480,119.31257273
96,,8002560,485.25012517
96,5,15360,6.16758273
96,5,53760,6.30177203
96,5,99840,8.42857771
96,5,2004480,146.05152386
96,5,8002560,526.57013848
96,10,15360,6.17731974
96,10,53760,6.27744923
96,10,99840,8.78841316
96,10,2004480,117.02394359
96,10,8002560,471.55311972
96,15,15360,8.10851811
96,15,53760,7.51696566
96,15,99840,8.73460341
96,15,2004480,115.51667931
96,15,8002560,461.42403569
96,20,15360,6.19068348
96,20,53760,7.04407061
96,20,99840,8.39258628
96,20,2004480,116.55873565
96,20,8002560,463.42035765
96,25,15360,6.19178727
96,25,53760,6.23306112
96,25,99840,8.33846116
96,25,2004480,116.02820700
96,25,8002560,462.78772846
96,30,15360,7.64875027
96,30,53760,8.03968894
96,30,99840,8.60289764
96,30,2004480,115.54514132
96,30,8002560,462.98952487
96,35,15360,7.98970303
96,35,53760,6.36192857
96,35,99840,8.43326881
96,35,2004480,116.21151494
96,35,8002560,463.24919141
96,40,15360,6.18524337
96,40,53760,6.40016700
96,40,99840,8.67133260
96,40,2004480,116.22716510
96,40,8002560,464.20420604
96,45,15360,6.17921195
96,45,53760,6.27299465
96,45,99840,8.46606714
96,45,2004480,117.61864972
96,45,8002560,481.52258787
96,50,15360,6.17960616
96,50,53760,6.35530583
96,50,99840,8.68989992
96,50,2004480,115.58322206
96,50,8002560,462.03565345
96,55,15360,6.92900053
96,55,53760,6.24733154
96,55,99840,8.32915779
96,55,2004480,116.52175869
96,55,8002560,462.16594006
96,60,15360,6.81101330
96,60,53760,9.00262720
96,60,99840,8.33286337
96,60,2004480,130.76782069
96,60,8002560,466.48329528
96,65,15360,6.51397560
96,65,53760,6.25080059
96,65,99840,9.93954757
96,65,2004480,115.97814226
96,65,8002560,467.45151597
96,70,15360,6.19419195
96,70,53760,6.23361301
96,70,99840,9.12246723
96,70,2004480,115.79152295
96,70,8002560,462.58396099
96,75,15360,6.18863358
96,75,53760,9.74626611
96,75,99840,23.57131117
96,75,2004480,115.91183603
96,75,8002560,464.23881773
96,80,15360,6.20321937
96,80,53760,6.20152427
96,80,99840,8.40776339
96,80,2004480,116.12396076
96,80,8002560,465.00267964
96,85,15360,6.17668900
96,85,53760,6.26743628
96,85,99840,8.68887498
96,85,2004480,116.69406815
96,85,8002560,462.64802022
96,90,15360,6.18615005
96,90,53760,6.24524222
96,90,99840,8.98559731
96,90,2004480,118.39678206
96,90,8002560,465.28327875
96,95,15360,6.17448142
96,95,53760,7.42755870
96,95,99840,8.40492507
96,95,2004480,119.24902598
96,95,8002560,469.33481775
96,100,15360,6.17424489
96,100,53760,6.32006340
96,100,99840,8.59741811
96,100,2004480,115.75241726
96,100,8002560,463.08539690
128,,10240,6.72987417
128,,51200,7.56528032
128,,102400,12.77962798
128,,2007040,111.98022648
128,,8007680,445.95128612
128,5,10240,5.91015345
128,5,51200,5.93936757
128,5,102400,8.04196063
128,5,2007040,115.00265253
128,5,8007680,447.80687282
128,10,10240,5.90897704
128,10,51200,7.87287166
128,10,102400,10.51610238
128,10,2007040,111.13391895
128,10,8007680,449.46611712
128,15,10240,5.91693740
