tpb,gpuA,nX,time
64,0,102400.0,2875.95434984
64,0,501760.0,2640.2857701
64,0,1003520.0,5084.20932293
64,0,2001920.0,17051.06560389
64,0,5002240.0,42461.00473403
64,0,8002560.0,84298.71336618
64,0,9999360.0,85057.57363636
64,5,102400.0,837.61787415
64,5,501760.0,2535.05321344
64,5,1003520.0,4773.6262083
64,5,2001920.0,10555.31922976
64,5,5002240.0,43681.21099471
64,5,8002560.0,82382.39940006
64,5,9999360.0,86118.3511416
64,10,102400.0,2499.35805798
64,10,501760.0,2515.72604974
64,10,1003520.0,5165.58452447
64,10,2001920.0,17265.14470577
64,10,5002240.0,44202.6071151
64,10,8002560.0,87080.08376756
64,10,9999360.0,84926.02535088
64,15,102400.0,1722.78598944
64,15,501760.0,2512.1490558
64,15,1003520.0,4676.23349031
64,15,2001920.0,15383.69524479
64,15,5002240.0,43436.00861231
64,15,8002560.0,84008.90135764
64,15,9999360.0,85249.15154774
64,20,102400.0,2123.43863646
64,20,501760.0,2516.1049366
64,20,1003520.0,4782.23975499
64,20,2001920.0,16217.85620848
64,20,5002240.0,43409.26003456
64,20,8002560.0,80291.56959056
64,20,9999360.0,85302.43225891
64,25,102400.0,796.70480887
64,25,501760.0,2507.06120332
64,25,1003520.0,4721.49256865
64,25,2001920.0,10682.10701148
64,25,5002240.0,42982.14431603
64,25,8002560.0,78957.05461501
64,25,9999360.0,87521.02494239
64,30,102400.0,786.79517905
64,30,501760.0,2498.22402
64,30,1003520.0,4723.05631638
64,30,2001920.0,9711.69610818
64,30,5002240.0,42887.32544581
64,30,8002560.0,68100.95302263
64,30,9999360.0,86372.32192356
64,35,102400.0,800.49443245
64,35,501760.0,2620.4735438
64,35,1003520.0,4716.10116959
64,35,2001920.0,10594.86114979
64,35,5002240.0,42700.2471288
64,35,8002560.0,72135.44857501
64,35,9999360.0,87066.32741291
64,40,102400.0,756.45764669
64,40,501760.0,2596.07088566
64,40,1003520.0,4799.37454065
64,40,2001920.0,9486.49879296
64,40,5002240.0,42601.99109713
64,40,8002560.0,68411.39423846
64,40,9999360.0,85987.21317449
64,45,102400.0,832.81326294
64,45,501760.0,2502.35303243
64,45,1003520.0,4681.52705828
64,45,2001920.0,9997.26764361
64,45,5002240.0,42614.70262209
64,45,8002560.0,67953.02780468
64,45,9999360.0,85879.03980413
64,50,102400.0,772.81777064
64,50,501760.0,2503.31278642
64,50,1003520.0,4676.60856247
64,50,2001920.0,9912.15177377
64,50,5002240.0,42926.37598514
64,50,8002560.0,67981.71718914
64,50,9999360.0,86575.11949538
64,55,102400.0,952.64875889
64,55,501760.0,2561.07978026
64,55,1003520.0,4753.13961506
64,55,2001920.0,9735.39773623
64,55,5002240.0,42578.37875684
64,55,8002560.0,67830.60395717
64,55,9999360.0,86197.45616117
64,60,102400.0,878.90625
64,60,501760.0,3886.89132531
64,60,1003520.0,5976.66418552
64,60,2001920.0,9679.00303999
64,60,5002240.0,42492.91519323
64,60,8002560.0,69500.71243444
64,60,9999360.0,84936.55804792
64,65,102400.0,801.90809568
64,65,501760.0,3595.3407685
64,65,1003520.0,5111.72000567
64,65,2001920.0,9933.07693799
64,65,5002240.0,43024.20198917
64,65,8002560.0,68021.05323473
64,65,9999360.0,85156.37918312
64,70,102400.0,778.76226107
64,70,501760.0,2537.06638018
64,70,1003520.0,4723.98893038
64,70,2001920.0,9710.02280712
64,70,5002240.0,43900.17910798
64,70,8002560.0,70486.13941669
64,70,9999360.0,85270.23255824
64,75,102400.0,777.17657884
64,75,501760.0,2559.23112233
64,75,1003520.0,5212.14663982
64,75,2001920.0,9877.73323059
64,75,5002240.0,43858.35250218
64,75,8002560.0,68057.34376112
64,75,9999360.0,85693.19820403
64,80,102400.0,831.82835579
64,80,501760.0,2557.49952793
64,80,1003520.0,4742.01154709
64,80,2001920.0,9850.93033314
64,80,5002240.0,43333.5618178
64,80,8002560.0,68824.81427987
64,80,9999360.0,85342.39963689
64,85,102400.0,768.57368151
64,85,501760.0,2526.91165606
64,85,1003520.0,4655.79752127
64,85,2001920.0,10282.00932344
64,85,5002240.0,43381.1755975
64,85,8002560.0,70312.80136107
64,85,9999360.0,84900.4369974
64,90,102400.0,786.96624438
64,90,501760.0,2563.81344795
64,90,1003520.0,4755.51084677
64,90,2001920.0,10567.25064913
64,90,5002240.0,42511.85520489
64,90,8002560.0,68713.60699335
64,90,9999360.0,88934.80543294
64,95,102400.0,736.90934976
64,95,501760.0,2535.04916032
64,95,1003520.0,4779.45121129
64,95,2001920.0,9826.42312844
64,95,5002240.0,43238.50524425
64,95,8002560.0,69143.96492639
64,95,9999360.0,87371.08747163
64,100,102400.0,793.25401783
64,100,501760.0,2587.632219
64,100,1003520.0,4705.09795348
64,100,2001920.0,9790.46003024
64,100,5002240.0,42781.21260801
64,100,8002560.0,68033.92966587
64,100,9999360.0,86315.38097063
96,0,99840.0,787.43183613
96,0,499200.0,2541.06974602
96,0,998400.0,4765.41133722
96,0,2004480.0,9918.67597898
96,0,4999680.0,42443.50838661
96,0,8002560.0,68907.25612639
96,0,9999360.0,86277.22338834
96,5,99840.0,784.99321143
96,5,499200.0,2518.04880301
96,5,998400.0,4664.14229075
96,5,2004480.0,9543.46048832
96,5,4999680.0,42485.05254586
96,5,8002560.0,68384.57429408
96,5,9999360.0,86149.90003903
96,10,99840.0,803.94017696
96,10,499200.0,2540.2332147
96,10,998400.0,4697.92517026
96,10,2004480.0,10039.65381781
96,10,4999680.0,42680.32455444
96,10,8002560.0,69767.52404371
96,10,9999360.0,87281.96895121
96,15,99840.0,792.89841652
96,15,499200.0,2550.93522867
96,15,998400.0,4675.1704216
96,15,2004480.0,9927.60952314
96,15,4999680.0,42476.17940107
96,15,8002560.0,67929.72977955
96,15,9999360.0,85473.60201676
96,20,99840.0,753.9242506
96,20,499200.0,3118.08733145
96,20,998400.0,6907.70375729
96,20,2004480.0,9933.60881011
96,20,4999680.0,42610.65113544
96,20,8002560.0,69520.60353755
96,20,9999360.0,85889.05413944
96,25,99840.0,761.08256976
96,25,499200.0,3333.37390423
96,25,998400.0,5112.83222834
96,25,2004480.0,9883.89786084
96,25,4999680.0,43885.97504297
96,25,8002560.0,67945.60150305
96,25,9999360.0,84920.11106013
96,30,99840.0,888.13475768
96,30,499200.0,2506.69487317
96,30,998400.0,4753.62153848
96,30,2004480.0,10695.22066911
96,30,4999680.0,43437.92382876
96,30,8002560.0,68349.77118173
96,30,9999360.0,85057.73083368
96,35,99840.0,782.92016188
