tpb,gpuA,nX,time
64,0,102400.0,522.65299762
64,0,501760.0,2189.53105046
64,0,1003520.0,4351.89597626
64,0,2001920.0,8662.6890809
64,0,5002240.0,21487.53376876
64,0,8002560.0,34708.22823967
64,0,9999360.0,43086.22211535
64,5,102400.0,520.56675579
64,5,501760.0,2179.87787216
64,5,1003520.0,4368.74788175
64,5,2001920.0,8830.4589562
64,5,5002240.0,21553.97800689
64,5,8002560.0,35122.30674003
64,5,9999360.0,43065.77585955
64,10,102400.0,523.49792516
64,10,501760.0,2189.69912447
64,10,1003520.0,4339.76167536
64,10,2001920.0,8990.422129
64,10,5002240.0,22523.16268835
64,10,8002560.0,35497.1888059
64,10,9999360.0,43037.96759787
64,15,102400.0,561.89362039
64,15,501760.0,2180.61143731
64,15,1003520.0,4323.24706715
64,15,2001920.0,9403.32561731
64,15,5002240.0,21543.15873346
64,15,8002560.0,36066.3090139
64,15,9999360.0,43431.68837751
64,20,102400.0,537.03388635
64,20,501760.0,2238.76710268
64,20,1003520.0,4471.84152584
64,20,2001920.0,9271.39909819
64,20,5002240.0,21569.24789256
64,20,8002560.0,36146.19453537
64,20,9999360.0,43033.53236235
64,25,102400.0,566.53271647
64,25,501760.0,2185.21018929
64,25,1003520.0,4330.18181394
64,25,2001920.0,9042.80632893
64,25,5002240.0,21572.97500588
64,25,8002560.0,35457.03025574
64,25,9999360.0,43024.76203822
64,30,102400.0,524.94547786
64,30,501760.0,2201.76094073
64,30,1003520.0,4333.82720865
64,30,2001920.0,8986.89519059
64,30,5002240.0,22318.19594794
64,30,8002560.0,35761.99829261
64,30,9999360.0,43056.97371192
64,35,102400.0,542.69256268
64,35,501760.0,2181.25294022
64,35,1003520.0,4353.94908678
64,35,2001920.0,8831.81674525
64,35,5002240.0,21716.94542816
64,35,8002560.0,35325.87748734
64,35,9999360.0,43158.40932442
64,40,102400.0,524.25931109
64,40,501760.0,2399.6195102
64,40,1003520.0,4769.15258518
64,40,2001920.0,8629.90842855
64,40,5002240.0,21641.89961362
64,40,8002560.0,35122.14845482
