tpb,gpuA,nX,time
64,0,102400.0,172.4918094
64,0,501760.0,170.77142925
64,0,1003520.0,210.59972766
64,0,2001920.0,295.84622904
64,0,5002240.0,654.24894814
64,0,8002560.0,5114.34757199
64,0,9999360.0,11110.13927851
64,5,102400.0,141.21090247
64,5,501760.0,172.52542082
64,5,1003520.0,217.15478845
64,5,2001920.0,288.85481576
64,5,5002240.0,579.65853754
64,5,8002560.0,5677.37918479
64,5,9999360.0,11051.94067164
64,10,102400.0,146.04534473
64,10,501760.0,192.04757587
64,10,1003520.0,210.67839268
64,10,2001920.0,306.00494235
64,10,5002240.0,666.61914176
64,10,8002560.0,5597.35071697
64,10,9999360.0,9182.93650837
64,15,102400.0,141.57562211
64,15,501760.0,255.65924992
64,15,1003520.0,256.2736714
64,15,2001920.0,289.69593553
64,15,5002240.0,738.00299927
64,15,8002560.0,5359.49447357
64,15,9999360.0,11039.44127668
64,20,102400.0,137.55103227
64,20,501760.0,185.76180373
64,20,1003520.0,218.86253452
64,20,2001920.0,299.29823288
64,20,5002240.0,589.56178819
64,20,8002560.0,5079.10107398
64,20,9999360.0,11192.775015
64,25,102400.0,174.35291254
64,25,501760.0,166.06829401
64,25,1003520.0,220.24616482
64,25,2001920.0,282.01807064
64,25,5002240.0,727.39359101
64,25,8002560.0,5793.25772587
64,25,9999360.0,11111.17110136
64,30,102400.0,133.78051455
64,30,501760.0,184.64972667
64,30,1003520.0,208.97525526
64,30,2001920.0,287.18262787
64,30,5002240.0,568.32263001
64,30,8002560.0,5424.67897126
64,30,9999360.0,11107.48894273
64,35,102400.0,153.01538336
64,35,501760.0,176.70189772
64,35,1003520.0,228.92287683
64,35,2001920.0,294.8010967
64,35,5002240.0,642.04550052
64,35,8002560.0,5945.39583534
64,35,9999360.0,11078.92209819
64,40,102400.0,238.43455048
64,40,501760.0,177.96443157
64,40,1003520.0,215.48645434
64,40,2001920.0,1356.07418269
64,40,5002240.0,581.38062608
64,40,8002560.0,5722.63302554
64,40,9999360.0,11050.66824508
64,45,102400.0,138.04678082
64,45,501760.0,206.02523754
64,45,1003520.0,195.45599612
64,45,2001920.0,275.55661328
64,45,5002240.0,657.13488168
64,45,8002560.0,4920.19455466
64,45,9999360.0,11066.97574216
64,50,102400.0,129.43530516
64,50,501760.0,183.0447616
64,50,1003520.0,202.46262591
64,50,2001920.0,288.36979427
64,50,5002240.0,610.86995704
64,50,8002560.0,5453.88475058
64,50,9999360.0,11086.67886649
64,55,102400.0,144.5369231
64,55,501760.0,197.26322564
64,55,1003520.0,214.16698768
64,55,2001920.0,302.96886986
64,55,5002240.0,693.6573422
64,55,8002560.0,5192.36356611
64,55,9999360.0,11049.8952222
64,60,102400.0,148.03127892
64,60,501760.0,162.4021465
64,60,1003520.0,221.29884582
64,60,2001920.0,308.59600125
64,60,5002240.0,1054.99649143
64,60,8002560.0,5331.21547149
64,60,9999360.0,9565.04258727
64,65,102400.0,162.69650465
64,65,501760.0,208.21053591
64,65,1003520.0,219.32522787
64,65,2001920.0,280.99776943
64,65,5002240.0,623.87531111
64,65,8002560.0,5031.11866946
64,65,9999360.0,11178.30696831
64,70,102400.0,155.20203255
64,70,501760.0,164.10262202
64,70,1003520.0,213.00588403
64,70,2001920.0,292.61174589
64,70,5002240.0,648.40346173
64,70,8002560.0,5486.14277241
64,70,9999360.0,11201.12566447
64,75,102400.0,273.6005559
64,75,501760.0,215.83210367
64,75,1003520.0,214.57072199
64,75,2001920.0,293.55143531
64,75,5002240.0,691.48873035
64,75,8002560.0,5536.82457902
64,75,9999360.0,11104.9643518
64,80,102400.0,181.71985196
64,80,501760.0,180.44373052
64,80,1003520.0,226.98986274
64,80,2001920.0,293.03629862
64,80,5002240.0,593.83019986
64,80,8002560.0,5755.16160737
64,80,9999360.0,11143.61116517
64,85,102400.0,151.77184036
64,85,501760.0,183.60956056
64,85,1003520.0,218.23710788
64,85,2001920.0,296.9789656
64,85,5002240.0,819.37683759
64,85,8002560.0,4762.05760172
64,85,9999360.0,11095.30186379
64,90,102400.0,141.12981394
64,90,501760.0,173.684975
64,90,1003520.0,215.39364551
64,90,2001920.0,279.28589146
64,90,5002240.0,585.01316217
64,90,8002560.0,4649.18632901
64,90,9999360.0,11075.68531071
64,95,102400.0,146.20025125
64,95,501760.0,190.55413238
64,95,1003520.0,211.12896843
64,95,2001920.0,276.70226203
64,95,5002240.0,716.70444503
64,95,8002560.0,6094.19803146
64,95,9999360.0,11140.34982467
64,100,102400.0,143.01964172
64,100,501760.0,184.86871737
64,100,1003520.0,226.27790458
64,100,2001920.0,295.68282033
64,100,5002240.0,649.05383869
64,100,8002560.0,5595.39918879
64,100,9999360.0,11252.7519678
96,0,99840.0,158.57795381
96,0,499200.0,178.64845967
96,0,998400.0,228.4558132
96,0,2004480.0,296.03069454
96,0,4999680.0,682.81217727
96,0,8002560.0,5490.72433444
96,0,9999360.0,11212.74413039
96,5,99840.0,146.68976222
96,5,499200.0,185.72672231
96,5,998400.0,231.10491736
96,5,2004480.0,324.23655404
96,5,4999680.0,715.19665908
96,5,8002560.0,5385.07955628
96,5,9999360.0,11148.32590151
96,10,99840.0,168.83170082
96,10,499200.0,177.67770154
96,10,998400.0,208.41129063
96,10,2004480.0,307.19083739
96,10,4999680.0,628.16148201
96,10,8002560.0,5894.6963887
96,10,9999360.0,11102.51179101
96,15,99840.0,150.44252071
96,15,499200.0,174.53404074
96,15,998400.0,224.26805304
96,15,2004480.0,303.62532548
96,15,4999680.0,756.05268817
96,15,8002560.0,5225.51308511
96,15,9999360.0,8738.71215918
96,20,99840.0,150.61681538
96,20,499200.0,209.17338781
96,20,998400.0,252.17776655
96,20,2004480.0,272.0783083
96,20,4999680.0,891.02271318
96,20,8002560.0,5415.56872759
96,20,9999360.0,11130.69262073
96,25,99840.0,171.28155999
96,25,499200.0,161.35582227
96,25,998400.0,226.32867927
96,25,2004480.0,290.1602578
96,25,4999680.0,821.39777374
96,25,8002560.0,5385.01575021
96,25,9999360.0,11216.69867658
96,30,99840.0,131.02346451
96,30,499200.0,183.22465817
96,30,998400.0,214.68089275
96,30,2004480.0,277.19232921
96,30,4999680.0,691.02397106
96,30,8002560.0,5418.81067994
96,30,9999360.0,11151.88589098
96,35,99840.0,159.6431497
96,35,499200.0,178.59252011
96,35,998400.0,215.50445194
96,35,2004480.0,291.11242239
96,35,4999680.0,708.78816156
96,35,8002560.0,4944.07840698
96,35,9999360.0,11227.61348787
96,40,99840.0,148.6675518
96,40,499200.0,192.40836226
96,40,998400.0,226.89935824
96,40,2004480.0,290.17348783
96,40,4999680.0,587.74216297
96,40,8002560.0,5439.75142752
96,40,9999360.0,11129.59119126
96,45,99840.0,139.94848782
96,45,499200.0,181.17181898
96,45,998400.0,226.12681212
96,45,2004480.0,282.26149517
96,45,4999680.0,918.11729022
96,45,8002560.0,5458.70540659
96,45,9999360.0,10984.41612798
96,50,99840.0,173.15458207
96,50,499200.0,175.02617387
96,50,998400.0,218.57199044
96,50,2004480.0,294.56005595
96,50,4999680.0,616.11973471
96,50,8002560.0,5274.61221508
96,50,9999360.0,11128.29921763
96,55,99840.0,154.81569989
96,55,499200.0,170.10257793
96,55,998400.0,219.10127094
96,55,2004480.0,292.20618401
96,55,4999680.0,797.93918929
96,55,8002560.0,5233.95662287
96,55,9999360.0,11080.88999505
96,60,99840.0,155.00815108
96,60,499200.0,188.49414183
96,60,998400.0,224.42184713
96,60,2004480.0,309.01034342
96,60,4999680.0,741.09282618
96,60,8002560.0,5105.27260839
96,60,9999360.0,10970.81347597
96,65,99840.0,149.54828219
96,65,499200.0,407.39422102
96,65,998400.0,328.01346826
96,65,2004480.0,297.41368916
96,65,4999680.0,614.7688815
96,65,8002560.0,4408.29647638
96,65,9999360.0,9328.35650591
