tpb,gpuA,nX,time
64,0,102400.0,28.84896512
64,0,501760.0,38.22714566
64,0,1003520.0,67.46968373
64,0,2001920.0,125.53978632
64,0,5002240.0,306.48082178
64,0,8002560.0,495.91028785
64,0,9999360.0,630.81850555
64,5,102400.0,10.01639411
64,5,501760.0,34.19293368
64,5,1003520.0,64.96204816
64,5,2001920.0,125.36505435
64,5,5002240.0,313.07403077
64,5,8002560.0,500.18850635
64,5,9999360.0,621.48463219
64,10,102400.0,9.87927172
64,10,501760.0,34.93426645
64,10,1003520.0,65.06532589
64,10,2001920.0,124.90014605
64,10,5002240.0,308.50397145
64,10,8002560.0,501.35888159
64,10,9999360.0,626.19621291
64,15,102400.0,10.92532531
64,15,501760.0,34.46947704
64,15,1003520.0,64.52305837
64,15,2001920.0,125.56665597
64,15,5002240.0,305.68174701
64,15,8002560.0,506.75310194
64,15,9999360.0,623.01612281
64,20,102400.0,9.97351364
64,20,501760.0,36.89586958
64,20,1003520.0,64.26125765
64,20,2001920.0,125.67159819
64,20,5002240.0,306.40302662
64,20,8002560.0,495.11814847
64,20,9999360.0,632.84629203
64,25,102400.0,10.10362138
64,25,501760.0,34.41034796
64,25,1003520.0,64.85064613
64,25,2001920.0,124.65586212
64,25,5002240.0,307.30280312
64,25,8002560.0,496.76298303
64,25,9999360.0,624.093881
64,30,102400.0,10.64909899
64,30,501760.0,34.02838682
64,30,1003520.0,64.30972605
64,30,2001920.0,143.37223578
64,30,5002240.0,309.15871104
64,30,8002560.0,494.24456789
64,30,9999360.0,633.18505566
64,35,102400.0,9.94450393
64,35,501760.0,35.8040821
64,35,1003520.0,64.78902032
64,35,2001920.0,125.47372186
64,35,5002240.0,315.92998099
64,35,8002560.0,498.55758218
64,35,9999360.0,621.09375412
64,40,102400.0,11.6459312
64,40,501760.0,34.12536326
64,40,1003520.0,64.71431636
64,40,2001920.0,124.50482934
64,40,5002240.0,307.71654813
64,40,8002560.0,494.51247175
64,40,9999360.0,630.53272823
64,45,102400.0,10.07576097
64,45,501760.0,34.74617892
64,45,1003520.0,65.01111103
64,45,2001920.0,126.18449933
64,45,5002240.0,308.27284493
64,45,8002560.0,495.39924936
64,45,9999360.0,627.82586889
64,50,102400.0,9.94042196
64,50,501760.0,34.34392683
64,50,1003520.0,69.02253533
64,50,2001920.0,125.26011213
64,50,5002240.0,306.22770019
64,50,8002560.0,495.37404421
64,50,9999360.0,620.60050983
64,55,102400.0,10.1038988
64,55,501760.0,34.61083992
64,55,1003520.0,66.01380858
64,55,2001920.0,126.33553211
64,55,5002240.0,306.85386601
64,55,8002560.0,500.07698542
64,55,9999360.0,659.90176765
64,60,102400.0,10.17380744
64,60,501760.0,49.60453891
64,60,1003520.0,99.68678685
64,60,2001920.0,124.3144036
64,60,5002240.0,310.6380476
64,60,8002560.0,504.20757938
64,60,9999360.0,771.53306375
64,65,102400.0,11.48681374
64,65,501760.0,70.73240394
64,65,1003520.0,117.57028071
64,65,2001920.0,129.75451636
64,65,5002240.0,517.82442693
64,65,8002560.0,499.18612584
64,65,9999360.0,696.34969089
64,70,102400.0,10.54098631
64,70,501760.0,47.12230665
64,70,1003520.0,89.44097034
64,70,2001920.0,177.26183572
64,70,5002240.0,319.43809479
64,70,8002560.0,533.72872161
64,70,9999360.0,626.62779175
64,75,102400.0,10.21763904
64,75,501760.0,34.41125947
64,75,1003520.0,65.87082084
64,75,2001920.0,124.05462405
64,75,5002240.0,305.66874812
64,75,8002560.0,494.24171448
64,75,9999360.0,636.57724952
64,80,102400.0,10.88165222
64,80,501760.0,35.98935585
64,80,1003520.0,64.80257403
64,80,2001920.0,124.58234708
64,80,5002240.0,305.27592815
64,80,8002560.0,495.96406678
64,80,9999360.0,620.05947086
64,85,102400.0,10.27898744
64,85,501760.0,34.46630658
