tpb,gpuA,nX,time
64,20.0000,499200,7855.37898540
64,20.0000,752640,9048.67672920
64,20.0000,998400,9679.40902710
64,20.0000,2503680,16272.01527357
64,20.0000,4999680,34522.06224203
64,20.0000,7503360,51694.03052330
64,20.0000,9999360,68554.78948354
64,24.0000,499712,6295.51953077
64,24.0000,753664,8017.55177975
64,24.0000,999424,8614.57824707
64,24.0000,2498560,15246.34873867
64,24.0000,5005312,31472.24628925
64,24.0000,7503872,49109.70151424
64,24.0000,10002432,66312.67398596
64,28.0000,504832,5436.97774410
64,28.0000,748544,7697.45826721
64,28.0000,1000960,8513.54473829
64,28.0000,2498048,16603.96504402
64,28.0000,5004800,27828.45723629
64,28.0000,7502848,46579.86050844
64,28.0000,10000896,61879.73922491
64,32.0000,506880,11111.01949215
64,32.0000,755712,5948.40753078
64,32.0000,1004544,7920.90553045
64,32.0000,2506752,13995.37605047
64,32.0000,5004288,27877.20954418
64,32.0000,7501824,44067.84820556
64,32.0000,9999360,60513.90224695
64,36.0000,505856,8128.23975086
64,36.0000,749056,6379.68426943
64,36.0000,1001984,11113.48474026
64,36.0000,2500096,15592.78804064
64,36.0000,5000192,25835.71302891
64,36.0000,7500288,40059.31705236
64,36.0000,10000384,57635.74475050
64,40.0000,501760,4970.89302540
64,40.0000,747520,9081.26026392
64,40.0000,1003520,10208.43154192
64,40.0000,2498560,16032.68104792
64,40.0000,5007360,23923.06023836
64,40.0000,7505920,39901.01873875
64,40.0000,10004480,52953.26024294
64,44.0000,505344,8530.62701225
64,44.0000,752640,8187.77447939
64,44.0000,999936,7768.14824343
64,44.0000,2505216,13532.83476829
64,44.0000,4999680,23279.34849262
64,44.0000,7504896,38392.98146963
64,44.0000,9999360,50205.61975241
64,48.0000,506880,6797.22702503
64,48.0000,754688,7598.67471456
64,48.0000,1002496,7828.22972536
64,48.0000,2500608,12711.35097742
64,48.0000,5001216,21109.37148333
64,48.0000,7501824,33403.42050791
64,48.0000,10002432,47577.58098841
64,52.0000,506368,10475.62676668
64,52.0000,753664,7386.44099236
64,52.0000,1000960,7739.33374882
64,52.0000,2508288,13924.17949438
