tpb,gpuA,nX,time
64,0.0000,102400,515.53971431
64,0.0000,199680,898.90688182
64,0.0000,302080,1358.56815317
64,0.0000,399360,1740.94478976
64,0.0000,599040,2604.95461841
64,0.0000,803840,3476.99882819
64,0.0000,1203200,5202.44732182
64,0.0000,1602560,6893.07497220
64,0.0000,2401280,10394.90674404
64,0.0000,3200000,13909.69781007
64,0.0000,4802560,20663.82694435
64,0.0000,6400000,27525.23936648
64,0.0000,9600000,41288.40458678
64,0.0000,12800000,55024.59890348
64,2.0000,102144,489.49617021
64,2.0000,198912,851.77276521
64,2.0000,301056,1275.19579961
64,2.0000,403200,1683.80981430
64,2.0000,602112,2496.84324607
64,2.0000,801024,3307.92934178
64,2.0000,1198848,5081.83363746
64,2.0000,1602048,6793.67122815
64,2.0000,2403072,9866.58710432
64,2.0000,3198720,13095.32279822
64,2.0000,4800768,19736.24852427
64,2.0000,6402816,26917.28058965
64,2.0000,9601536,39358.97588096
64,2.0000,12800256,52421.79124121
64,4.0000,101376,395.64295018
64,4.0000,202752,788.95113411
64,4.0000,304128,1194.88048268
64,4.0000,399872,1557.39827042
64,4.0000,602624,2342.73056242
64,4.0000,799744,3133.02077987
64,4.0000,1199616,4668.29938616
64,4.0000,1599488,6218.06798463
64,4.0000,2399232,9357.96307439
64,4.0000,3198976,12497.40724551
64,4.0000,4804096,18826.37050399
64,4.0000,6403584,25023.10668376
64,4.0000,9602560,37502.07195891
64,4.0000,12801536,49896.01628102
64,6.0000,100096,373.96707116
64,6.0000,200192,751.96542163
64,6.0000,300288,1115.98339170
64,6.0000,400384,1505.10339819
64,6.0000,600576,2231.81796993
64,6.0000,800768,2975.22422006
64,6.0000,1201152,4467.22422667
64,6.0000,1601536,6696.94632450
64,6.0000,2402304,9087.02362250
64,6.0000,3203072,11974.14310213
64,6.0000,4798720,18039.32778854
64,6.0000,6400256,24093.51165307
64,6.0000,9603328,35915.92455322
64,6.0000,12800512,47871.46474453
64,8.0000,104448,374.18567437
64,8.0000,202752,725.17650242
64,8.0000,301056,1075.06630903
64,8.0000,399360,1436.66272151
64,8.0000,602112,2143.56667501
64,8.0000,798720,2849.84989211
64,8.0000,1204224,4298.79172527
64,8.0000,1603584,5736.34391928
64,8.0000,2402304,8596.44196611
64,8.0000,3201024,11485.18004474
64,8.0000,4804608,17236.53724060
64,8.0000,6402048,22999.37649452
64,8.0000,9603072,34431.48835225
64,8.0000,12804096,46401.42754354
64,10.0000,102400,351.29685668
64,10.0000,204800,702.76610712
64,10.0000,300800,1031.16503104
64,10.0000,403200,1390.25301534
64,10.0000,601600,2055.94729236
64,10.0000,800000,2743.23834542
64,10.0000,1203200,4132.06401975
64,10.0000,1600000,5492.26698089
64,10.0000,2400000,8283.08592293
64,10.0000,3200000,11028.30885731
64,10.0000,4800000,16507.72822347
64,10.0000,6400000,22018.65625350
64,10.0000,9600000,33021.77010064
64,10.0000,12800000,44035.18037276
64,12.0000,99840,329.02275153
64,12.0000,199680,657.72473178
64,12.0000,299520,988.33394177
64,12.0000,399360,1326.07946053
64,12.0000,599040,1978.92703433
64,12.0000,798720,2628.90577792
64,12.0000,1204736,3971.46477344
64,12.0000,1604096,5293.84010650
64,12.0000,2402816,7926.33928359
64,12.0000,3201536,10661.41607279
64,12.0000,4798976,15995.57099349
64,12.0000,6403072,21217.17653217
64,12.0000,9604608,31947.72689900
64,12.0000,12799488,42649.59641435
64,14.0000,103680,332.96426719
64,14.0000,200448,666.57411925
64,14.0000,304128,982.12067276
64,14.0000,400896,1409.84174102
64,14.0000,601344,2021.67418567
64,14.0000,801792,2547.94364755
64,14.0000,1202688,3818.76445039
64,14.0000,1603584,5081.24714202
64,14.0000,2398464,7625.77826514
64,14.0000,3200256,10170.83108742
64,14.0000,4803840,15312.80133318
64,14.0000,6400512,20373.61803207
64,14.0000,9600768,30623.33761060
64,14.0000,12801024,40801.52642378
64,16.0000,100352,307.45993903
64,16.0000,200704,615.88330155
64,16.0000,301056,919.74484794
64,16.0000,401408,1247.24268755
64,16.0000,602112,1841.27624999
64,16.0000,802816,2480.99982421
64,16.0000,1204224,3692.05234691
64,16.0000,1598464,4893.06830345
64,16.0000,2401280,7351.98436899
64,16.0000,3204096,10013.08347158
64,16.0000,4802560,14798.56634235
64,16.0000,6401024,19663.01629201
64,16.0000,9605120,30093.07614349
64,16.0000,12802048,39337.81583575
64,18.0000,103936,309.70379235
64,18.0000,200448,596.55237388
64,18.0000,304384,909.84706866
64,18.0000,400896,1202.12450782
64,18.0000,601344,1820.45976374
64,18.0000,801792,2379.75998762
64,18.0000,1202688,3571.48467385
64,18.0000,1603584,4737.98771805
64,18.0000,2405376,7107.74450860
64,18.0000,3199744,9503.36931868
64,18.0000,4803328,14237.52311855
64,18.0000,6399488,18997.60624671
64,18.0000,9599232,28466.67535127
64,18.0000,12798976,37892.73003473
64,20.0000,99840,285.85056041
64,20.0000,199680,582.95962183
64,20.0000,299520,866.38398786
64,20.0000,399360,1139.88132711
64,20.0000,599040,1709.36055006
64,20.0000,798720,2295.58911412
64,20.0000,1205760,3441.13815338
64,20.0000,1605120,4593.67587687
64,20.0000,2403840,6876.13179709
64,20.0000,3202560,9257.65142954
64,20.0000,4800000,13859.14760226
64,20.0000,6405120,18416.69513824
64,20.0000,9600000,27490.69498733
64,20.0000,12802560,37286.76084033
96,0.0000,99840,499.04550847
96,0.0000,199680,899.24668727
96,0.0000,299520,1340.00368169
96,0.0000,399360,1745.43194245
96,0.0000,599040,2604.23054575
96,0.0000,798720,3456.26077646
96,0.0000,1205760,5197.27390126
96,0.0000,1605120,6884.25383245
96,0.0000,2403840,10520.23919613
96,0.0000,3202560,13834.74089235
96,0.0000,4800000,20587.87202613
96,0.0000,6405120,27470.05592304
96,0.0000,9600000,41237.84445355
96,0.0000,12802560,54871.39972241
96,2.0000,104832,499.47987831
96,2.0000,201600,1038.32700180
96,2.0000,298368,1329.54282906
96,2.0000,403200,1670.29478635
96,2.0000,604800,2503.54120298
96,2.0000,798336,3284.49914813
96,2.0000,1201536,4943.51990986
96,2.0000,1604736,6635.76859877
96,2.0000,2403072,9832.13198929
96,2.0000,3201408,13101.24304665
96,2.0000,4798080,19616.23173786
96,2.0000,6402816,26738.85261870
96,2.0000,9604224,39305.39905946
96,2.0000,12805632,52297.62750634
96,4.0000,101376,394.00134587
96,4.0000,202752,787.62567059
96,4.0000,304128,1197.47923981
96,4.0000,405504,1578.63542853
96,4.0000,599808,2329.40722272
96,4.0000,802560,3129.86055693
96,4.0000,1199616,4677.44339035
96,4.0000,1605120,6244.33979095
96,4.0000,2399232,9362.52440748
96,4.0000,3201792,12543.01428162
96,4.0000,4798464,18728.79397347
96,4.0000,6403584,24951.52007536
96,4.0000,9605376,37416.30856418
96,4.0000,12798720,49868.76162241
96,6.0000,105984,396.69819879
96,6.0000,203136,947.17764759
96,6.0000,300288,1119.03287817
96,6.0000,406272,2132.00712742
96,6.0000,600576,2369.82269433
96,6.0000,803712,2994.09728443
96,6.0000,1201152,4472.10938649
96,6.0000,1598592,5947.97809602
96,6.0000,2402304,8973.56092059
96,6.0000,3206016,11951.42246971
96,6.0000,4804608,18105.11618180
96,6.0000,6403200,23910.09410697
96,6.0000,9600384,35793.45982705
96,6.0000,12806400,47796.24602551
96,8.0000,101376,367.25762039
96,8.0000,202752,722.77708358
96,8.0000,304128,1084.34380605
96,8.0000,405504,1455.81158825
96,8.0000,599040,2140.88347012
96,8.0000,801792,2851.32749780
96,8.0000,1198080,4275.62865128
96,8.0000,1603584,5724.58930699
96,8.0000,2405376,8585.71848388
96,8.0000,3197952,11434.13429875
96,8.0000,4801536,17249.70950232
96,8.0000,6405120,22887.25481407
96,8.0000,9603072,34307.31192845
96,8.0000,12801024,46264.30046669
96,10.0000,105600,361.58944031
96,10.0000,201600,690.13811836
96,10.0000,307200,1053.06708005
96,10.0000,403200,1389.92898334
96,10.0000,604800,2072.56095343
96,10.0000,806400,2768.76960301
96,10.0000,1200000,4110.92281183
96,10.0000,1603200,5506.99372532
96,10.0000,2400000,8214.78916196
96,10.0000,3206400,11016.34646475
96,10.0000,4800000,16456.10923786
96,10.0000,6403200,21994.20752437
96,10.0000,9600000,32993.57054401
96,10.0000,12806400,43852.53102339
96,12.0000,99840,329.43012230
96,12.0000,199680,659.82155749
96,12.0000,299520,985.73453081
96,12.0000,399360,1318.12596701
