tpb,gpuA,nX,time
64,20.0000,499200,4031.65837127
64,20.0000,752640,968.56720318
64,20.0000,998400,1102.37622855
64,20.0000,2503680,3583.78216680
64,20.0000,4999680,1899.40755183
64,20.0000,7503360,3357.78135944
64,20.0000,9999360,3623.85742744
64,24.0000,499712,5062.14822951
64,24.0000,753664,4210.33014050
64,24.0000,999424,638.82542793
64,24.0000,2498560,3464.57869815
64,24.0000,5005312,3376.86342812
64,24.0000,7503872,4083.41171205
64,24.0000,10002432,5781.60036028
64,28.0000,504832,1068.29339768
64,28.0000,748544,885.82018218
64,28.0000,1000960,1189.08414482
64,28.0000,2498048,3557.68593120
64,28.0000,5004800,1562.72102342
64,28.0000,7502848,1770.01106810
64,28.0000,10000896,3053.90250692
64,32.0000,506880,840.63454714
64,32.0000,755712,4157.28205632
64,32.0000,1004544,1126.95525501
64,32.0000,2506752,867.17740286
64,32.0000,5004288,3908.68854070
64,32.0000,7501824,2515.32538654
64,32.0000,9999360,2731.28889291
64,36.0000,505856,3942.62970313
64,36.0000,749056,583.12964791
64,36.0000,1001984,1097.53812535
64,36.0000,2500096,3344.75026728
64,36.0000,5000192,4150.64869161
64,36.0000,7500288,2082.30348798
64,36.0000,10000384,4829.38138855
64,40.0000,501760,918.66427348
64,40.0000,747520,796.14682432
64,40.0000,1003520,611.48520798
64,40.0000,2498560,3583.65460362
64,40.0000,5007360,2860.87385069
64,40.0000,7505920,4363.55046318
64,40.0000,10004480,3693.92592811
64,44.0000,505344,849.52596485
64,44.0000,752640,1311.22130830
64,44.0000,999936,4311.84718613
64,44.0000,2505216,1160.53428980
64,44.0000,4999680,2323.13273500
64,44.0000,7504896,3610.56228884
64,44.0000,9999360,2201.20472666
64,48.0000,506880,604.18532020
64,48.0000,754688,6183.91608747
64,48.0000,1002496,864.41179900
64,48.0000,2500608,1158.70485782
64,48.0000,5001216,3845.60746656
64,48.0000,7501824,5868.75551254
64,48.0000,10002432,2304.62429335
64,52.0000,506368,3634.80227260
64,52.0000,753664,863.38614814
64,52.0000,1000960,1016.02749967
64,52.0000,2508288,1471.09625290
64,52.0000,5004800,3711.79685187
64,52.0000,7501312,4905.37280590
64,52.0000,9997824,2330.31113876
64,56.0000,503808,728.93426077
64,56.0000,749568,694.11690360
64,56.0000,1007616,862.23964899
64,56.0000,2506752,4931.30104987
64,56.0000,5001216,1725.19373920
64,56.0000,7507968,2025.96325664
64,56.0000,10002432,4304.35171208
64,60.0000,499200,4690.75027242
64,60.0000,755200,4406.73561516
64,60.0000,998400,801.49988862
64,60.0000,2508800,3785.20023266
64,60.0000,5004800,1438.99840918
64,60.0000,7500800,1944.00358713
64,60.0000,10009600,2517.68761978
96,20.0000,506880,703.54328802
96,20.0000,748800,818.69052178
96,20.0000,1002240,1093.49311506
96,20.0000,2499840,4911.39338658
96,20.0000,4999680,2137.59377165
96,20.0000,7499520,2250.86717166
96,20.0000,9999360,3856.54621269
96,24.0000,503808,631.02816097
96,24.0000,749568,3994.00834073
96,24.0000,1007616,3344.82276035
96,24.0000,2506752,4837.83558303
96,24.0000,5001216,3616.80543459
96,24.0000,7507968,2358.33454982
96,24.0000,10002432,4647.79326801
96,28.0000,509184,857.22115743
96,28.0000,757248,4250.18849805
96,28.0000,1005312,3033.99998907
96,28.0000,2506752,5256.04791517
96,28.0000,5000448,1003.98625883
96,28.0000,7507200,1771.19938635
96,28.0000,10000896,5464.09857093
96,32.0000,497664,1091.64826662
96,32.0000,760320,4648.93593290
96,32.0000,1009152,774.78202837
96,32.0000,2502144,1208.79751316
96,32.0000,5004288,3471.30023065
96,32.0000,7506432,2366.62452732
96,32.0000,10008576,5936.22056020
96,36.0000,510720,1166.21256967
96,36.0000,758784,3468.09223824
96,36.0000,1006848,1346.14815008
96,36.0000,2509824,4059.27880904
96,36.0000,5005056,1840.71217961
96,36.0000,7500288,3418.95250229
96,36.0000,10010112,5841.23430823
96,40.0000,506880,4305.69510869
96,40.0000,752640,5338.95500103
96,40.0000,998400,865.04814476
96,40.0000,2503680,1198.73436577
96,40.0000,5007360,4039.33431315
96,40.0000,7511040,4945.53895605
96,40.0000,9999360,3248.99742439
96,44.0000,499968,751.89225545
96,44.0000,758016,1159.42378887
96,44.0000,999936,941.55394706
96,44.0000,2499840,4058.68360693
96,44.0000,4999680,4025.68143742
96,44.0000,7499520,3539.28121286
96,44.0000,9999360,2525.17973639
96,48.0000,506880,3311.42004128
96,48.0000,760320,3884.79636079
