tpb,gpuA,nX,time
64,0.0000,102400,12.40832771
64,0.0000,199680,16.58435832
64,0.0000,302080,23.51371532
64,0.0000,399360,27.70769866
64,0.0000,599040,40.99509580
64,0.0000,803840,52.49393747
64,0.0000,1203200,75.80202865
64,0.0000,1602560,101.26171277
64,0.0000,2401280,150.87241426
64,0.0000,3200000,198.72622525
64,0.0000,4802560,294.40400528
64,0.0000,6400000,403.34391784
64,0.0000,9600000,605.80177431
64,0.0000,12800000,795.99076367
64,2.0000,102144,8.10345754
64,2.0000,198912,13.56699207
64,2.0000,301056,19.56175696
64,2.0000,403200,25.45486898
64,2.0000,602112,36.96167643
64,2.0000,801024,49.63640203
64,2.0000,1198848,71.41670807
64,2.0000,1602048,95.08096078
64,2.0000,2403072,142.23380292
64,2.0000,3198720,186.81550121
64,2.0000,4800768,280.89750954
64,2.0000,6402816,378.26197420
64,2.0000,9601536,574.94989101
64,2.0000,12800256,775.18567126
64,4.0000,101376,9.05625998
64,4.0000,202752,13.34965705
64,4.0000,304128,18.84556990
64,4.0000,399872,24.41331348
64,4.0000,602624,35.64668859
64,4.0000,799744,46.38911800
64,4.0000,1199616,68.64326907
64,4.0000,1599488,91.26612481
64,4.0000,2399232,134.93292747
64,4.0000,3198976,182.19697349
64,4.0000,4804096,268.20661460
64,4.0000,6403584,360.80659149
64,4.0000,9602560,545.04405311
64,4.0000,12801536,733.31731193
64,6.0000,100096,7.29627828
64,6.0000,200192,12.64603293
64,6.0000,300288,17.94373260
64,6.0000,400384,28.57222360
64,6.0000,600576,33.84150802
64,6.0000,800768,45.91247899
64,6.0000,1201152,65.62207845
64,6.0000,1601536,87.10430182
64,6.0000,2402304,129.12127645
64,6.0000,3203072,246.00747101
64,6.0000,4798720,258.04713368
64,6.0000,6400256,476.70354314
64,6.0000,9603328,605.87176221
64,6.0000,12800512,705.41023098
64,8.0000,104448,7.33319432
64,8.0000,202752,12.38621375
64,8.0000,301056,17.23945458
64,8.0000,399360,23.18808928
64,8.0000,602112,32.65193168
64,8.0000,798720,44.89711942
64,8.0000,1204224,63.62508507
64,8.0000,1603584,84.80758109
64,8.0000,2402304,123.97795836
64,8.0000,3201024,164.06634228
64,8.0000,4804608,246.10296130
64,8.0000,6402048,327.65418291
64,8.0000,9603072,505.44191865
64,8.0000,12804096,668.10247904
64,10.0000,102400,7.48329578
64,10.0000,204800,12.14028514
64,10.0000,300800,17.67354998
