eqs,tpb,gpuA,nX,time,Speed
EulerClassic,64,0.0,99840,926.42055858,107.76962911210958
EulerClassic,64,0.0,130560,1167.88981178,111.79136822934638
EulerClassic,64,0.0,197120,1745.16599829,112.95200582245351
EulerClassic,64,0.0,263680,2296.23872584,114.83126603203756
EulerClassic,64,0.0,394240,3465.79673073,113.7516221030543
EulerClassic,64,0.0,524800,4525.32365105,115.96960581553806
EulerClassic,64,0.0,785920,6825.4182122,115.14605780422627
EulerClassic,64,0.0,1049600,11385.39942828,92.18824570993236
EulerClassic,64,0.0,1574400,25240.80111763,62.375199291924424
EulerClassic,64,0.0,2096640,36075.15781576,58.118664669681635
EulerClassic,64,0.0,3146240,53264.76582613,59.06794015147166
EulerClassic,64,0.0,4195840,70731.73965107,59.32046943421286
EulerClassic,64,0.0,6292480,106205.48582076,59.24816360823056
EulerClassic,64,0.0,8389120,142268.78144523,58.966696100012676
EulerClassic,64,0.0,12582400,212667.79075967,59.16457755570059
EulerClassic,64,2.0,67584,585.42906154,115.44353439205248
EulerClassic,64,2.0,98560,824.40796765,119.55245930112524
EulerClassic,64,2.0,132352,1086.87201413,121.77330750938764
EulerClassic,64,2.0,197120,1585.42763103,124.33238587619269
EulerClassic,64,2.0,261888,2201.7028982,118.94792899355596
EulerClassic,64,2.0,394240,3142.75308089,125.44415353444016
EulerClassic,64,2.0,523776,4119.87855218,127.13384469133155
EulerClassic,64,2.0,788480,6235.17201163,126.45681603158778
EulerClassic,64,2.0,1050368,9708.37506381,108.19194696293376
EulerClassic,64,2.0,1574144,21674.80581457,72.62551800772518
EulerClassic,64,2.0,2097920,32731.10125281,64.09561303165415
EulerClassic,64,2.0,3145472,48466.06254577,64.90050634976802
EulerClassic,64,2.0,4195840,64395.80327814,65.15704108662517
EulerClassic,64,2.0,6290944,96704.90251887,65.0529997563717
EulerClassic,64,2.0,8388864,129645.62216671,64.70611085666158
EulerClassic,64,2.0,12584704,193125.78201292,65.16325199479627
EulerClassic,64,4.0,67584,546.69948058,123.62184783548601
EulerClassic,64,4.0,98304,771.19437131,127.4698100208052
EulerClassic,64,4.0,132096,986.30909486,133.92961769124733
EulerClassic,64,4.0,196608,1455.16365225,135.11057652931422
EulerClassic,64,4.0,264192,1949.13092527,135.543485855576
EulerClassic,64,4.0,393216,2856.12890937,137.67445814857666
EulerClassic,64,4.0,525312,3819.96909055,137.51734308519377
EulerClassic,64,4.0,786432,5661.09761325,138.91864329619187
EulerClassic,64,4.0,1050624,8251.87748129,127.31938911867583
EulerClassic,64,4.0,1572864,18937.23292784,83.05669608613736
EulerClassic,64,4.0,2098176,28730.01198335,73.03080838309302
EulerClassic,64,4.0,3145728,45250.50128589,69.51808069761428
EulerClassic,64,4.0,4196352,59541.00855913,70.4783493183965
EulerClassic,64,4.0,6291456,88467.35980293,71.11612705538919
EulerClassic,64,4.0,8389632,117974.52779248,71.1139273619943
EulerClassic,64,4.0,12582912,177295.51618747,70.97140565413392
EulerClassic,64,6.0,66560,507.79745796,131.07588263122625
EulerClassic,64,6.0,99840,738.23729428,135.24106784306198
EulerClassic,64,6.0,133120,918.86819493,144.87387933820168
EulerClassic,64,6.0,196352,1344.51016513,146.03980326248768
EulerClassic,64,6.0,262912,1793.50493171,146.5911776162941
EulerClassic,64,6.0,392704,2700.29726895,145.4299141489342
EulerClassic,64,6.0,525824,3585.07654884,146.67022944604557
EulerClassic,64,6.0,788736,5270.11853998,149.6619087438958
EulerClassic,64,6.0,1048320,6992.49961159,149.92063757321054
EulerClassic,64,6.0,1574144,15827.1485242,99.45847147343724
EulerClassic,64,6.0,2096640,26200.21672682,80.0237655230448
EulerClassic,64,6.0,3144960,40778.36561203,77.12324789868987
EulerClassic,64,6.0,4196608,54508.07818499,76.99056983365868
